,0
0,+ Naoki Abe
1,- Myriam Abramson
2,+ David W. Aha
3,+ Kamal M. Ali
4,- Eric Allender
5,+ Dana Angluin
6,- Chidanand Apte
7,+ Minoru Asada
8,+ Lars Asker
9,+ Javed Aslam
10,+ Haralabos Athanassiou
11,+ Jose L. Balcazar
12,+ Timothy P. Barber
13,+ Michael W. Barley
14,- Cristina Baroglio
15,+ Peter Bartlett
16,- Eric Baum
17,+ Welton Becket
18,- Shai Ben-David
19,+ George Berg
20,+ Neil Berkman
21,+ Malini Bhandaru
22,+ Bir Bhanu
23,+ Reinhard Blasig
24,- Avrim Blum
25,- Anselm Blumer
26,+ Justin Boyan
27,+ Carla E. Brodley
28,+ Nader Bshouty
29,- Wray Buntine
30,- Andrey Burago
31,+ Tom Bylander
32,+ Bill Byrne
33,- Claire Cardie
34,+ Richard A. Caruana
35,+ John Case
36,+ Jason Catlett
37,+ Nicolo Cesa-Bianchi
38,- Philip Chan
39,+ Mark Changizi
40,+ Pang-Chieh Chen
41,- Zhixiang Chen
42,+ Wan P. Chiang
43,- Steve A. Chien
44,+ Jeffery Clouse
45,+ William Cohen
46,+ David Cohn
47,- Clare Bates Congdon
48,- Antoine Cornuejols
49,+ Mark W. Craven
50,+ Robert P. Daley
51,+ Lindley Darden
52,- Chris Darken
53,- Bhaskar Dasgupta
54,- Brian D. Davidson
55,+ Michael de la Maza
56,- Olivier De Vel
57,- Scott E. Decatur
58,+ Gerald F. DeJong
59,+ Kan Deng
60,- Thomas G. Dietterich
61,+ Michael J. Donahue
62,+ George A. Drastal
63,+ Harris Drucker
64,- Chris Drummond
65,+ Hal Duncan
66,- Thomas Ellman
67,+ Tapio Elomaa
68,+ Susan L. Epstein
69,+ Bob Evans
70,- Claudio Facchinetti
71,+ Tom Fawcett
72,- Usama Fayyad
73,+ Aaron Feigelson
74,+ Nicolas Fiechter
75,+ David Finton
76,+ John Fischer
77,+ Paul Fischer
78,+ Seth Flanders
79,+ Lance Fortnow
80,- Ameur Foued
81,+ Judy A. Franklin
82,+ Yoav Freund
83,+ Johannes Furnkranz
84,+ Merrick L. Furst
85,+ Jean Gabriel Ganascia
86,+ William Gasarch
87,+ Ricard Gavalda
88,+ Melinda T. Gervasio
89,+ Yolanda Gil
90,+ David Gillman
91,- Attilio Giordana
92,+ Kate Goelz
93,+ Paul W. Goldberg
94,+ Sally Goldman
95,+ Diana Gordon
96,+ Geoffrey Gordon
97,+ Jonathan Gratch
98,+ Leslie Grate
99,+ William A. Greene
100,+ Russell Greiner
101,+ Marko Grobelnik
102,+ Tal Grossman
103,+ Margo Guertin
104,+ Tom Hancock
105,+ Earl S. Harris Jr.
106,+ David Haussler
107,+ Matthias Heger
108,+ Lisa Hellerstein
109,+ David Helmbold
110,+ Daniel Hennessy
111,+ Haym Hirsh
112,+ Jonathan Hodgson
113,+ Robert C. Holte
114,+ Jiarong Hong
115,- Chun-Nan Hsu
116,+ Kazushi Ikeda
117,+ Masayuki Inaba
118,- Drago Indjic
119,+ Nitin Indurkhya
120,+ Jeff Jackson
121,+ Sanjay Jain
122,+ Wolfgang Janko
123,- Klaus P. Jantke
124,+ Nathalie Japkowicz
125,+ George H. John
126,+ Randolph Jones
127,+ Michael I. Jordan
128,+ Leslie Pack Kaelbling
129,+ Bala Kalyanasundaram
130,- Thomas E. Kammeyer
131,- Grigoris Karakoulas
132,+ Michael Kearns
133,+ Neela Khan
134,+ Roni Khardon
135,+ Dennis F. Kibler
136,+ Jorg-Uwe Kietz
137,- Efim Kinber
138,- Jyrki Kivinen
139,- Emanuel Knill
140,- Craig Knoblock
141,+ Ron Kohavi
142,+ Pascal Koiran
143,+ Moshe Koppel
144,+ Daniel Kortenkamp
145,+ Matevz Kovacic
146,- Stefan Kramer
147,+ Martinch Krikis
148,+ Martin Kummer
149,- Eyal Kushilevitz
150,- Stephen Kwek
151,+ Wai Lam
152,+ Ken Lang
153,- Steffen Lange
154,+ Pat Langley
155,+ Mary Soon Lee
156,+ Wee Sun Lee
157,+ Moshe Leshno
158,+ Long-Ji Lin
159,- Charles X. Ling
160,+ Michael Littman
161,+ David Loewenstern
162,- Phil Long
163,+ Wolfgang Maass
164,- Bruce A. MacDonald
165,+ Rich Maclin
166,- Sridhar Mahadevan
167,- J. Jeffrey Mahoney
168,+ Yishay Mansour
169,+ Mario Marchand
170,- Shaul Markovitch
171,- Oded Maron
172,+ Maja Mataric
173,+ David Mathias
174,+ Toshiyasu Matsushima
175,- Stan Matwin
176,- Eddy Mayoraz
177,- R. Andrew McCallum
178,- L. Thorne McCarty
179,- Alexander M. Meystel
180,+ Michael A. meystel
181,- Steven Minton
182,+ Nina Mishra
183,+ Tom M. Mitchell
184,+ Dunja Mladenic
185,+ David Montgomery
186,- Andrew W. Moore
187,+ Johanne Morin
188,+ Hiroshi Motoda
189,- Stephen Muggleton
190,+ Patrick M. Murphy
191,- Sreerama K. Murthy
192,+ Filippo Neri
193,- Craig Nevill-Manning
194,- Andrew Y. Ng
195,+ Nikolay Nikolaev
196,- Steven W. Norton
197,+ Joseph O'Sullivan
198,+ Dan Oblinger
199,+ Jong-Hoon Oh
200,- Arlindo Oliveira
201,+ David W. Opitz
202,+ Sandra Panizza
203,+ Barak A. Pearlmutter
204,- Ed Pednault
205,+ Jing Peng
206,+ Fernando Pereira
207,+ Aurora Perez
208,+ Bernhard Pfahringer
209,+ David Pierce
210,- Krishnan Pillaipakkamnatt
211,+ Roberto Piola
212,+ Leonard Pitt
213,+ Lorien Y. Pratt
214,- Armand Prieditis
215,+ Foster J. Provost
216,- J. R. Quinlan
217,+ John Rachlin
218,+ Vijay Raghavan
219,- R. Bharat Rao
220,- Priscilla Rasmussen
221,+ Joel Ratsaby
222,+ Michael Redmond
223,+ Patricia J. Riddle
224,+ Lance Riley
225,+ Ronald L. Rivest
226,+ Huw Roberts
227,+ Dana Ron
228,+ Robert S. Roos
229,+ Justinian Rosca
230,+ John R. Rose
231,+ Dan Roth
232,+ James S. Royer
233,+ Ronitt Rubinfeld
234,- Stuart Russell
235,+ Lorenza Saitta
236,+ Yoshifumi Sakai
237,+ William Sakas
238,+ Marcos Salganicoff
239,- Steven Salzberg
240,- Claude Sammut
241,+ Cullen Schaffer
242,+ Robert Schapire
243,+ Mark Schwabacher
244,+ Michele Sebag
245,+ Gary M. Selzer
246,+ Sebastian Seung
247,- Arun Sharma
248,+ Jude Shavlik
249,+ Daniel L. Silver
250,- Glenn Silverstein
251,+ Yoram Singer
252,+ Mona Singh
253,+ Satinder Pal Singh
254,+ Kimmen Sjolander
255,+ David B. Skalak
256,+ Sean Slattery
257,+ Robert Sloan
258,+ Donna Slonim
259,+ Carl H. Smith
260,+ Sonya Snedecor
261,+ Von-Wun Soo
262,- Thomas G. Spalthoff
263,+ Mark Staley
264,- Frank Stephan
265,+ Mandayam T. Suraj
266,+ Richard S. Sutton
267,+ Joe Suzuki
268,- Prasad Tadepalli
269,+ Hiroshi Tanaka
270,- Irina Tchoumatchenko
271,- Brian Tester
272,- Chen K. Tham
273,+ Tatsuo Unemi
274,- Lyle H. Ungar
275,+ Paul Utgoff
276,+ Karsten Verbeurgt
277,+ Paul Vitanyi
278,+ Xuemei Wang
279,+ Manfred Warmuth
280,+ Gary Weiss
281,- Sholom Weiss
282,- Thomas Wengerek
283,- Bradley L. Whitehall
284,- Alma Whitten
285,+ Robert Williamson
286,+ Janusz Wnek
287,+ Kenji Yamanishi
288,+ Takefumi Yamazaki
289,+ Holly Yanco
290,+ John M. Zelle
291,- Thomas Zeugmann
292,+ Jean-Daniel Zucker
293,+ Darko Zupanic
