,Class Name,Left-Weight,Left-Distance,Right-Weight,Right-Distance
0,B,1,1,1,1
1,R,1,1,1,2
2,R,1,1,1,3
3,R,1,1,1,4
4,R,1,1,1,5
5,R,1,1,2,1
6,R,1,1,2,2
7,R,1,1,2,3
8,R,1,1,2,4
9,R,1,1,2,5
10,R,1,1,3,1
11,R,1,1,3,2
12,R,1,1,3,3
13,R,1,1,3,4
14,R,1,1,3,5
15,R,1,1,4,1
16,R,1,1,4,2
17,R,1,1,4,3
18,R,1,1,4,4
19,R,1,1,4,5
20,R,1,1,5,1
21,R,1,1,5,2
22,R,1,1,5,3
23,R,1,1,5,4
24,R,1,1,5,5
25,L,1,2,1,1
26,B,1,2,1,2
27,R,1,2,1,3
28,R,1,2,1,4
29,R,1,2,1,5
30,B,1,2,2,1
31,R,1,2,2,2
32,R,1,2,2,3
33,R,1,2,2,4
34,R,1,2,2,5
35,R,1,2,3,1
36,R,1,2,3,2
37,R,1,2,3,3
38,R,1,2,3,4
39,R,1,2,3,5
40,R,1,2,4,1
41,R,1,2,4,2
42,R,1,2,4,3
43,R,1,2,4,4
44,R,1,2,4,5
45,R,1,2,5,1
46,R,1,2,5,2
47,R,1,2,5,3
48,R,1,2,5,4
49,R,1,2,5,5
50,L,1,3,1,1
51,L,1,3,1,2
52,B,1,3,1,3
53,R,1,3,1,4
54,R,1,3,1,5
55,L,1,3,2,1
56,R,1,3,2,2
57,R,1,3,2,3
58,R,1,3,2,4
59,R,1,3,2,5
60,B,1,3,3,1
61,R,1,3,3,2
62,R,1,3,3,3
63,R,1,3,3,4
64,R,1,3,3,5
65,R,1,3,4,1
66,R,1,3,4,2
67,R,1,3,4,3
68,R,1,3,4,4
69,R,1,3,4,5
70,R,1,3,5,1
71,R,1,3,5,2
72,R,1,3,5,3
73,R,1,3,5,4
74,R,1,3,5,5
75,L,1,4,1,1
76,L,1,4,1,2
77,L,1,4,1,3
78,B,1,4,1,4
79,R,1,4,1,5
80,L,1,4,2,1
81,B,1,4,2,2
82,R,1,4,2,3
83,R,1,4,2,4
84,R,1,4,2,5
85,L,1,4,3,1
86,R,1,4,3,2
87,R,1,4,3,3
88,R,1,4,3,4
89,R,1,4,3,5
90,B,1,4,4,1
91,R,1,4,4,2
92,R,1,4,4,3
93,R,1,4,4,4
94,R,1,4,4,5
95,R,1,4,5,1
96,R,1,4,5,2
97,R,1,4,5,3
98,R,1,4,5,4
99,R,1,4,5,5
100,L,1,5,1,1
101,L,1,5,1,2
102,L,1,5,1,3
103,L,1,5,1,4
104,B,1,5,1,5
105,L,1,5,2,1
106,L,1,5,2,2
107,R,1,5,2,3
108,R,1,5,2,4
109,R,1,5,2,5
110,L,1,5,3,1
111,R,1,5,3,2
112,R,1,5,3,3
113,R,1,5,3,4
114,R,1,5,3,5
115,L,1,5,4,1
116,R,1,5,4,2
117,R,1,5,4,3
118,R,1,5,4,4
119,R,1,5,4,5
120,B,1,5,5,1
121,R,1,5,5,2
122,R,1,5,5,3
123,R,1,5,5,4
124,R,1,5,5,5
125,L,2,1,1,1
126,B,2,1,1,2
127,R,2,1,1,3
128,R,2,1,1,4
129,R,2,1,1,5
130,B,2,1,2,1
131,R,2,1,2,2
132,R,2,1,2,3
133,R,2,1,2,4
134,R,2,1,2,5
135,R,2,1,3,1
136,R,2,1,3,2
137,R,2,1,3,3
138,R,2,1,3,4
139,R,2,1,3,5
140,R,2,1,4,1
141,R,2,1,4,2
142,R,2,1,4,3
143,R,2,1,4,4
144,R,2,1,4,5
145,R,2,1,5,1
146,R,2,1,5,2
147,R,2,1,5,3
148,R,2,1,5,4
149,R,2,1,5,5
150,L,2,2,1,1
151,L,2,2,1,2
152,L,2,2,1,3
