,Color,size,act,age,inflated
0,YELLOW,SMALL,STRETCH,ADULT,T
1,YELLOW,SMALL,STRETCH,ADULT,T
2,YELLOW,SMALL,STRETCH,CHILD,F
3,YELLOW,SMALL,DIP,ADULT,F
4,YELLOW,SMALL,DIP,CHILD,F
5,YELLOW,LARGE,STRETCH,ADULT,T
6,YELLOW,LARGE,STRETCH,ADULT,T
7,YELLOW,LARGE,STRETCH,CHILD,F
8,YELLOW,LARGE,DIP,ADULT,F
9,YELLOW,LARGE,DIP,CHILD,F
10,PURPLE,SMALL,STRETCH,ADULT,T
11,PURPLE,SMALL,STRETCH,ADULT,T
12,PURPLE,SMALL,STRETCH,CHILD,F
13,PURPLE,SMALL,DIP,ADULT,F
14,PURPLE,SMALL,DIP,CHILD,F
15,PURPLE,LARGE,STRETCH,ADULT,T
16,PURPLE,LARGE,STRETCH,ADULT,T
17,PURPLE,LARGE,STRETCH,CHILD,F
18,PURPLE,LARGE,DIP,ADULT,F
19,PURPLE,LARGE,DIP,CHILD,F
