,0,1,2,3,4
0,Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),whether he/she donated blood in March 2007
1,2 ,50,12500,98 ,1
2,0 ,13,3250,28 ,1
3,1 ,16,4000,35 ,1
4,2 ,20,5000,45 ,1
5,1 ,24,6000,77 ,0
6,4 ,4,1000,4 ,0
7,2 ,7,1750,14 ,1
8,1 ,12,3000,35 ,0
9,2 ,9,2250,22 ,1
10,5 ,46,11500,98 ,1
11,4 ,23,5750,58 ,0
12,0 ,3,750,4 ,0
13,2 ,10,2500,28 ,1
14,1 ,13,3250,47 ,0
15,2 ,6,1500,15 ,1
16,2 ,5,1250,11 ,1
17,2 ,14,3500,48 ,1
18,2 ,15,3750,49 ,1
19,2 ,6,1500,15 ,1
20,2 ,3,750,4 ,1
21,2 ,3,750,4 ,1
22,4 ,11,2750,28 ,0
23,2 ,6,1500,16 ,1
24,2 ,6,1500,16 ,1
25,9 ,9,2250,16 ,0
26,4 ,14,3500,40 ,0
27,4 ,6,1500,14 ,0
28,4 ,12,3000,34 ,1
29,4 ,5,1250,11 ,1
30,4 ,8,2000,21 ,0
31,1 ,14,3500,58 ,0
32,4 ,10,2500,28 ,1
33,4 ,10,2500,28 ,1
34,4 ,9,2250,26 ,1
35,2 ,16,4000,64 ,0
36,2 ,8,2000,28 ,1
37,2 ,12,3000,47 ,1
38,4 ,6,1500,16 ,1
39,2 ,14,3500,57 ,1
40,4 ,7,1750,22 ,1
41,2 ,13,3250,53 ,1
42,2 ,5,1250,16 ,0
43,2 ,5,1250,16 ,1
44,2 ,5,1250,16 ,0
45,4 ,20,5000,69 ,1
46,4 ,9,2250,28 ,1
47,2 ,9,2250,36 ,0
48,2 ,2,500,2 ,0
49,2 ,2,500,2 ,0
50,2 ,2,500,2 ,0
51,2 ,11,2750,46 ,0
52,2 ,11,2750,46 ,1
53,2 ,6,1500,22 ,0
54,2 ,12,3000,52 ,0
55,4 ,5,1250,14 ,1
56,4 ,19,4750,69 ,1
57,4 ,8,2000,26 ,1
58,2 ,7,1750,28 ,1
59,2 ,16,4000,81 ,0
60,3 ,6,1500,21 ,0
61,2 ,7,1750,29 ,0
62,2 ,8,2000,35 ,1
63,2 ,10,2500,49 ,0
64,4 ,5,1250,16 ,1
65,2 ,3,750,9 ,1
66,3 ,16,4000,74 ,0
67,2 ,4,1000,14 ,1
68,0 ,2,500,4 ,0
69,4 ,7,1750,25 ,0
