,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,1"
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,6"
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,7"
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,2"
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,1"
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,9"
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,3"
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,2"
9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,6"
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,4"
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,2"
12,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,7"
13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,8"
14,14,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"4,9"
15,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,1"
16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,3"
17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,9"
18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,1"
19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,7"
20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,1"
21,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,5"
22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,4"
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,9"
24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,2"
25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"11,8"
26,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"11,4"
27,27,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7,4"
28,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"4,9"
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,3"
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,5"
32,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"10,3"
33,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,5"
34,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"7,9"
35,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,7"
36,9,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,"8,3"
37,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,5"
38,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,5"
39,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,4"
40,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,7"
41,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7,8"
42,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"8,1"
43,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,3"
44,17,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"8,3"
45,18,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"8,4"
46,19,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"9,3"
47,20,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11
48,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,1"
49,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,1"
50,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,7"
51,24,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"15,3"
52,25,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"16,8"
53,26,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"15,6"
54,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,4"
56,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,8"
57,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"5,3"
58,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"5,9"
59,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
60,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,4"
61,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"6,2"
62,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"6,5"
63,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"6,7"
64,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"7,7"
65,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,7"
66,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"8,2"
67,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8
68,14,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,"6,2"
69,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"6,8"
70,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
71,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"9,2"
72,18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"10,1"
73,19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"12,2"
74,20,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,"13,9"
75,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15
76,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"17,1"
77,23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"19,6"
78,24,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,"20,2"
79,25,1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,"22,6"
80,26,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"23,4"
81,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,3"
82,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4
83,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"5,7"
85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,6"
86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,5"
87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,6"
88,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"7,6"
89,8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,"6,6"
90,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,4"
91,10,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,"7,7"
92,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"7,7"
93,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,9"
94,13,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"10,1"
95,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,8"
96,15,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"11,4"
97,16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"12,5"
98,17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"12,1"
99,18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"10,5"
100,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"9,9"
101,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"11,1"
102,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,1"
103,22,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"13,7"
