,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
1,?,11-7-2016 12:29:01,-200,-200,-80,-200,-77,-56,-81,-200,-200,-200,-200,-200,-200
2,?,11-7-2016 12:29:00,-200,-200,-80,-200,-78,-56,-200,-200,-200,-200,-200,-200,-200
3,?,11-7-2016 12:28:59,-200,-200,-81,-200,-74,-63,-200,-200,-200,-200,-200,-200,-200
4,?,11-7-2016 12:28:58,-200,-200,-200,-200,-75,-56,-200,-200,-200,-200,-200,-200,-200
5,?,11-7-2016 12:28:57,-200,-200,-200,-200,-82,-56,-200,-200,-200,-200,-200,-200,-200
6,?,11-7-2016 12:28:56,-200,-200,-200,-200,-81,-62,-200,-200,-200,-200,-200,-200,-200
7,?,11-7-2016 12:28:55,-200,-200,-200,-200,-81,-61,-200,-200,-200,-200,-200,-200,-200
8,?,11-7-2016 12:28:54,-200,-200,-200,-200,-81,-58,-200,-200,-200,-200,-200,-200,-200
9,?,11-7-2016 12:28:53,-200,-200,-200,-200,-80,-58,-200,-200,-200,-200,-200,-200,-200
10,?,11-7-2016 12:28:52,-200,-200,-200,-200,-80,-59,-76,-200,-200,-200,-200,-200,-200
11,?,11-7-2016 12:28:51,-200,-200,-200,-78,-84,-56,-76,-200,-200,-200,-200,-200,-200
12,?,11-7-2016 12:28:50,-200,-200,-200,-78,-80,-56,-76,-200,-200,-200,-200,-200,-200
13,?,11-7-2016 12:28:49,-200,-200,-200,-78,-80,-61,-76,-200,-200,-200,-200,-200,-200
14,?,11-7-2016 12:28:48,-200,-200,-200,-78,-200,-67,-79,-200,-200,-200,-200,-200,-200
15,?,11-7-2016 12:28:47,-200,-200,-200,-77,-200,-73,-73,-200,-200,-200,-200,-200,-200
16,?,11-7-2016 12:28:46,-200,-200,-200,-77,-200,-73,-73,-200,-200,-200,-200,-200,-200
17,?,11-7-2016 12:28:45,-200,-200,-200,-78,-200,-73,-79,-78,-200,-200,-200,-200,-200
18,?,11-7-2016 12:28:44,-200,-200,-200,-78,-200,-70,-69,-78,-200,-200,-200,-200,-200
19,?,11-7-2016 12:28:43,-200,-79,-200,-200,-200,-71,-69,-78,-200,-200,-200,-200,-200
20,?,11-7-2016 12:28:42,-81,-79,-200,-200,-84,-200,-69,-78,-200,-200,-200,-200,-200
21,?,11-7-2016 12:28:41,-81,-79,-200,-200,-84,-200,-69,-76,-200,-200,-200,-200,-200
22,?,11-7-2016 12:28:40,-81,-79,-200,-200,-84,-77,-77,-76,-200,-200,-200,-200,-200
23,?,11-7-2016 12:28:39,-81,-81,-200,-80,-84,-77,-76,-200,-200,-200,-200,-200,-200
24,?,11-7-2016 12:28:38,-81,-200,-200,-80,-84,-77,-69,-200,-200,-200,-200,-200,-200
25,?,11-7-2016 12:28:37,-200,-200,-80,-80,-87,-77,-69,-200,-200,-200,-200,-200,-200
26,?,11-7-2016 12:28:36,-200,-200,-80,-80,-82,-73,-62,-200,-200,-200,-200,-200,-200
