checkin_acc,duration,credit_history,amount,savings_acc,present_emp_since,inst_rate,personal_status,residing_since,age,inst_plans,num_credits,job,status
A11,6,A34,1169,A65,A75,4,A93,4,67,A143,2,A173,0
A12,48,A32,5951,A61,A73,2,A92,2,22,A143,1,A173,1
A14,12,A34,2096,A61,A74,2,A93,3,49,A143,1,A172,0
A11,42,A32,7882,A61,A74,2,A93,4,45,A143,1,A173,0
A11,24,A33,4870,A61,A73,3,A93,4,53,A143,2,A173,1
A14,36,A32,9055,A65,A73,2,A93,4,35,A143,1,A172,0
A14,24,A32,2835,A63,A75,3,A93,4,53,A143,1,A173,0
A12,36,A32,6948,A61,A73,2,A93,2,35,A143,1,A174,0
A14,12,A32,3059,A64,A74,2,A91,4,61,A143,1,A172,0
A12,30,A34,5234,A61,A71,4,A94,2,28,A143,2,A174,1
A12,12,A32,1295,A61,A72,3,A92,1,25,A143,1,A173,1
A11,48,A32,4308,A61,A72,3,A92,4,24,A143,1,A173,1
A12,12,A32,1567,A61,A73,1,A92,1,22,A143,1,A173,0
A11,24,A34,1199,A61,A75,4,A93,4,60,A143,2,A172,1
A11,15,A32,1403,A61,A73,2,A92,4,28,A143,1,A173,0
A11,24,A32,1282,A62,A73,4,A92,2,32,A143,1,A172,1
A14,24,A34,2424,A65,A75,4,A93,4,53,A143,2,A173,0
A11,30,A30,8072,A65,A72,2,A93,3,25,A141,3,A173,0
A12,24,A32,12579,A61,A75,4,A92,2,44,A143,1,A174,1
A14,24,A32,3430,A63,A75,3,A93,2,31,A143,1,A173,0
A14,9,A34,2134,A61,A73,4,A93,4,48,A143,3,A173,0
A11,6,A32,2647,A63,A73,2,A93,3,44,A143,1,A173,0
A11,10,A34,2241,A61,A72,1,A93,3,48,A143,2,A172,0
A12,12,A34,1804,A62,A72,3,A93,4,44,A143,1,A173,0
A14,10,A34,2069,A65,A73,2,A94,1,26,A143,2,A173,0
A11,6,A32,1374,A61,A73,1,A93,2,36,A141,1,A172,0
A14,6,A30,426,A61,A75,4,A94,4,39,A143,1,A172,0
A13,12,A31,409,A64,A73,3,A92,3,42,A143,2,A173,0
A12,7,A32,2415,A61,A73,3,A93,2,34,A143,1,A173,0
A11,60,A33,6836,A61,A75,3,A93,4,63,A143,2,A173,1
A12,18,A32,1913,A64,A72,3,A94,3,36,A141,1,A173,0
A11,24,A32,4020,A61,A73,2,A93,2,27,A142,1,A173,0
A12,18,A32,5866,A62,A73,2,A93,2,30,A143,2,A173,0
A14,12,A34,1264,A65,A75,4,A93,4,57,A143,1,A172,0
A13,12,A32,1474,A61,A72,4,A92,1,33,A141,1,A174,0
A12,45,A34,4746,A61,A72,4,A93,2,25,A143,2,A172,1
A14,48,A34,6110,A61,A73,1,A93,3,31,A141,1,A173,0
A13,18,A32,2100,A61,A73,4,A93,2,37,A142,1,A173,1
A13,10,A32,1225,A61,A73,2,A93,2,37,A143,1,A173,0
A12,9,A32,458,A61,A73,4,A93,3,24,A143,1,A173,0
A14,30,A32,2333,A63,A75,4,A93,2,30,A141,1,A174,0
A12,12,A32,1158,A63,A73,3,A91,1,26,A143,1,A173,0
A12,18,A33,6204,A61,A73,2,A93,4,44,A143,1,A172,0
A11,30,A34,6187,A62,A74,1,A94,4,24,A143,2,A173,0
A11,48,A34,6143,A61,A75,4,A92,4,58,A142,2,A172,1
A14,11,A34,1393,A61,A72,4,A92,4,35,A143,2,A174,0
A14,36,A32,2299,A63,A75,4,A93,4,39,A143,1,A173,0
A11,6,A32,1352,A63,A71,1,A92,2,23,A143,1,A171,0
A14,11,A34,7228,A61,A73,1,A93,4,39,A143,2,A172,0
A14,12,A32,2073,A62,A73,4,A92,2,28,A143,1,A173,0
A12,24,A33,2333,A65,A72,4,A93,2,29,A141,1,A172,0
A12,27,A33,5965,A61,A75,1,A93,2,30,A143,2,A174,0
A14,12,A32,1262,A61,A73,3,A93,2,25,A143,1,A173,0
A14,18,A32,3378,A65,A73,2,A93,1,31,A143,1,A173,0
