pagename,review,rating
Beirut Golden Plaza Suites,هذا الفندق ينقصه بعض الاشياء داخل الغرف مثلا عدم وضوح القنوات التلفزيونية وجود اعطال في الحمامات ولا تستطيع وضع الملابس داخل الحمام الا على المغسلة وليس به وجبة افطار صباحية اما موقعه فهو جيد وقريب على اماكن التسوق وقريب جدا من المطار,2
Beirut Golden Plaza Suites,لطيف ولكن الغرف الفندقية تحتاج صيانة كادر الخدمة يجب ان يكون بالمستوى المطلوب,4
Beirut Golden Plaza Suites,مكان جميل جدا وحسن الخلق والضيافه,5
Beirut Golden Plaza Suites,بحاجة الى اعادة تأهيل للمفروشات,3
Beirut Golden Plaza Suites,فندق ممتاز ومعاملة راقية جدا,5
Beirut Golden Plaza Suites,فندق ممتاز ومعاملة راقية جدا,4
Beirut Golden Plaza Suites,رائع وجميل,5
Beirut Golden Plaza Suites,ممتع ..مسلي .. مريح,5
Beirut Golden Plaza Suites,انه جميل وراقي 😙😙😙😍😍❤❤,5
Beirut Golden Plaza Suites,مكان جيد وقريب من الخدمات,3
Beirut Golden Plaza Suites,مكان بعيد عن مركز المدينه . الخدمه ممتازة الوافاي ممتاز الغرف جميله لكن الافطار مش جيد,4
Beirut Golden Plaza Suites,"هو فندق كبير، وذو غرف كبيرة واسعة، وقريب جدا من مطار رفيق الحريري الدولي، ويمتاز بديكوراته الجميلة وخدمته التي تعد ٤ نجوم، واجمل شيء أن سعره مناسب",4
Beirut Golden Plaza Suites,المكان غير جيد,1
Beirut Golden Plaza Suites,فندق جيد,3
Beirut Golden Plaza Suites,ممتاز وجميل,5
Beirut Golden Plaza Suites,هذا المكان كبير وضخم متعدد الدرجات وأسعاره مناسبة ينقصه القليل من التنظيم.,3
Beirut Golden Plaza Suites,اوتيل وصاﻻت اعراس ونادي رياضي على طريق المطار,4
Beirut Golden Plaza Suites,جيد,4
Beirut Golden Plaza Suites,رائع,5
Beirut Golden Plaza Suites,واسع و مريح و جميل,4
Beirut Golden Plaza Suites,فندق سيء المعاملة جدا سيئة التبريد سيء لا انصح أحدا بالإقامة فيه,3
Beirut Golden Plaza Suites,لا بأس,2
Beirut Golden Plaza Suites,هادء جميل جداً,5
Beirut Golden Plaza Suites,في غرفة؟,1
Beirut Golden Plaza Suites,جديد,5
Beirut Golden Plaza Suites,ماء الفندق مالح غير عذب .. كذلك خدمة الانترنيت سيئة جدا .. وجبات الفطور سيئه .. وكذلك تعاملهم سيئ غير مؤدب ..,1
Beirut Golden Plaza Suites,مميز جدا,5
Beirut Golden Plaza Suites,عادي جدا,3
Beirut Golden Plaza Suites,قريب من المطار,3
Beirut Golden Plaza Suites,جيد,4
Beirut Golden Plaza Suites,لابأس,3
Al Saha Restaurant,المكان جيد و لكن الأسعار إلى حد ما مبالغ بها,4
Al Saha Restaurant,مناظر خلابه واكل مميز ولذيذ واسعار مناسبة,4
Al Saha Restaurant,طعام لذيذ نظيف كريم و ديكور جميل جدا,5
Al Saha Restaurant,المكان جميل ومنسق والخدمة جيدة,5
Al Saha Restaurant,مكان هادئ بالرغم من وجوده وسط الفوضى والتلوث البيئي,3
Al Saha Restaurant,القعدة رايقة و الاسعار مناسبة جدا …,3
Al Saha Restaurant,مطعم رائع و اسعار جيده.,5
