,US1,US2,US3,US4,US5,US6,US7,US8,US9,US10,US11,US12,US13,US14,US15,US16,US17,US18,US19,US20,US21,US22,US23,US24,CLASS
0,0.43799999999999994,0.498,3.625,3.645,5.0,2.918,5.0,2.351,2.332,2.6430000000000002,1.6980000000000002,1.6869999999999998,1.6980000000000002,1.7169999999999999,1.744,0.593,0.502,0.493,0.504,0.445,0.431,0.444,0.44,0.429,Slight-Right-Turn
1,0.43799999999999994,0.498,3.625,3.648,5.0,2.918,5.0,2.637,2.332,2.6489999999999996,1.695,1.6869999999999998,1.695,1.72,1.744,0.5920000000000001,0.502,0.493,0.504,0.449,0.431,0.444,0.44299999999999995,0.429,Slight-Right-Turn
2,0.43799999999999994,0.498,3.625,3.6289999999999996,5.0,2.918,5.0,2.637,2.334,2.6430000000000002,1.696,1.6869999999999998,1.695,1.7169999999999999,1.744,0.593,0.502,0.493,0.504,0.449,0.431,0.444,0.446,0.429,Slight-Right-Turn
3,0.43700000000000006,0.501,3.625,3.6260000000000003,5.0,2.918,5.0,2.353,2.334,2.642,1.73,1.6869999999999998,1.695,1.7169999999999999,1.744,0.593,0.502,0.493,0.504,0.449,0.431,0.444,0.444,0.429,Slight-Right-Turn
4,0.43799999999999994,0.498,3.6260000000000003,3.6289999999999996,5.0,2.918,5.0,2.64,2.334,2.639,1.696,1.6869999999999998,1.695,1.7169999999999999,1.744,0.5920000000000001,0.502,0.493,0.504,0.449,0.431,0.444,0.441,0.429,Slight-Right-Turn
5,0.439,0.498,3.6260000000000003,3.6289999999999996,5.0,2.918,5.0,2.633,2.334,2.645,1.705,1.686,1.694,1.719,1.744,0.589,0.502,0.493,0.504,0.446,0.431,0.444,0.444,0.43,Slight-Right-Turn
6,0.44,5.0,3.627,3.628,5.0,2.9189999999999996,3.028,2.346,2.33,2.638,1.7269999999999999,1.6840000000000002,1.692,1.714,1.745,0.588,0.501,0.49200000000000005,0.504,0.451,0.433,0.446,0.444,0.43200000000000005,Slight-Right-Turn
7,0.444,5.021,3.6310000000000002,3.634,5.0,2.9189999999999996,5.0,2.6260000000000003,2.327,2.638,1.6980000000000002,1.68,1.6880000000000002,1.709,1.74,0.595,0.5,0.491,0.503,0.45299999999999996,0.436,0.44799999999999995,0.444,0.436,Slight-Right-Turn
8,0.451,5.025,3.635,3.639,5.0,2.92,3.0269999999999997,2.62,2.323,2.6319999999999997,1.706,1.673,1.681,1.703,0.753,0.595,0.499,0.491,0.502,0.457,0.44,0.45299999999999996,0.45399999999999996,0.442,Sharp-Right-Turn
9,0.45799999999999996,5.022,3.64,3.6439999999999997,5.0,2.9219999999999997,5.0,2.346,2.3209999999999997,2.628,1.6880000000000002,1.666,1.6740000000000002,1.696,0.7440000000000001,0.59,0.496,0.49,0.498,0.462,0.444,0.45799999999999996,0.461,0.449,Sharp-Right-Turn
10,0.465,0.525,3.6460000000000004,3.67,5.0,2.923,5.0,2.611,2.315,2.6310000000000002,1.6740000000000002,1.6580000000000001,1.666,1.6880000000000002,0.735,0.593,0.495,0.488,0.49700000000000005,0.467,0.449,0.462,0.469,0.457,Sharp-Right-Turn
11,0.473,0.5329999999999999,3.6519999999999997,3.676,5.0,2.925,5.0,2.6069999999999998,2.31,2.623,1.669,1.651,1.659,1.6840000000000002,0.7290000000000001,0.578,0.496,0.48700000000000004,0.498,0.469,0.45399999999999996,0.467,0.47600000000000003,0.465,Sharp-Right-Turn
