,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
1,11,26,7,3,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,4
2,36,0,7,3,1,118,13,18,50,"239,554",97,1,1,1,1,0,0,98,178,31,0
3,3,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
4,7,7,7,5,1,279,5,14,39,"239,554",97,0,1,2,1,1,0,68,168,24,4
5,11,23,7,5,1,289,36,13,33,"239,554",97,0,1,2,1,0,1,90,172,30,2
6,3,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
7,10,22,7,6,1,361,52,3,28,"239,554",97,0,1,1,1,0,4,80,172,27,8
8,20,23,7,6,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,4
9,14,19,7,2,1,155,12,14,34,"239,554",97,0,1,2,1,0,0,95,196,25,40
10,1,22,7,2,1,235,11,14,37,"239,554",97,0,3,1,0,0,1,88,172,29,8
11,20,1,7,2,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
12,20,1,7,3,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
13,20,11,7,4,1,260,50,11,36,"239,554",97,0,1,4,1,0,0,65,168,23,8
14,3,11,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,1
15,3,23,7,4,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,4
16,24,14,7,6,1,246,25,16,41,"239,554",97,0,1,0,1,0,0,67,170,23,8
17,3,23,7,6,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,2
18,3,21,7,2,1,179,51,18,38,"239,554",97,0,1,0,1,0,0,89,170,31,8
19,6,11,7,5,1,189,29,13,33,"239,554",97,0,1,2,0,0,2,69,167,25,8
20,33,23,8,4,1,248,25,14,47,"205,917",92,0,1,2,0,0,1,86,165,32,2
21,18,10,8,4,1,330,16,4,28,"205,917",92,0,2,0,0,0,0,84,182,25,8
22,3,11,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,1
23,10,13,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,40
24,20,28,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,4
25,11,18,8,2,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8
26,10,25,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,7
27,11,23,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,1
28,30,28,8,4,1,157,27,6,29,"205,917",92,0,1,0,1,1,0,75,185,22,4
29,11,18,8,4,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8
30,3,23,8,6,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2
31,3,18,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,8
32,2,18,8,5,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
33,1,23,8,5,1,235,11,14,37,"205,917",92,0,3,1,0,0,1,88,172,29,4
34,2,18,8,2,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
35,3,23,8,2,1,179,51,18,38,"205,917",92,0,1,0,1,0,0,89,170,31,2
36,10,23,8,2,1,361,52,3,28,"205,917",92,0,1,1,1,0,4,80,172,27,1
37,11,24,8,3,1,289,36,13,33,"205,917",92,0,1,2,1,0,1,90,172,30,8
38,19,11,8,5,1,291,50,12,32,"205,917",92,0,1,0,1,0,0,65,169,23,4
39,2,28,8,6,1,235,29,12,48,"205,917",92,0,1,1,0,1,5,88,163,33,8
40,20,23,8,6,1,260,50,11,36,"205,917",92,0,1,4,1,0,0,65,168,23,4
41,27,23,9,3,1,184,42,7,27,"241,476",92,0,1,0,0,0,0,58,167,21,2
42,34,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,4
43,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,4
44,5,19,9,3,1,235,20,13,43,"241,476",92,0,1,1,1,0,0,106,167,38,8
45,14,23,9,4,1,155,12,14,34,"241,476",92,0,1,2,1,0,0,95,196,25,2
46,34,23,9,2,1,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,3
47,3,23,9,3,1,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3
48,15,23,9,5,1,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,4
49,20,22,9,6,1,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,8
50,15,14,9,2,4,291,31,12,40,"241,476",92,0,1,1,1,0,1,73,171,25,32
51,20,0,9,2,4,260,50,11,36,"241,476",92,1,1,4,1,0,0,65,168,23,0
52,29,0,9,2,4,225,26,9,28,"241,476",92,1,1,1,0,0,2,69,169,24,0
53,28,23,9,3,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,2
54,34,23,9,3,4,118,10,10,37,"241,476",92,0,1,0,0,0,0,83,172,28,2
55,11,0,9,3,4,289,36,13,33,"241,476",92,1,1,2,1,0,1,90,172,30,0
56,36,0,9,3,4,118,13,18,50,"241,476",92,1,1,1,1,0,0,98,178,31,0
57,28,18,9,4,4,225,26,9,28,"241,476",92,0,1,1,0,0,2,69,169,24,3
58,3,23,9,4,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3
59,13,0,9,4,4,369,17,12,31,"241,476",92,1,1,3,1,0,0,70,169,25,0
60,33,23,9,6,4,248,25,14,47,"241,476",92,0,1,2,0,0,1,86,165,32,1
61,3,23,9,6,4,179,51,18,38,"241,476",92,0,1,0,1,0,0,89,170,31,3
62,20,23,9,6,4,260,50,11,36,"241,476",92,0,1,4,1,0,0,65,168,23,4
63,3,23,10,3,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,3
64,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3
65,36,0,10,4,4,118,13,18,50,"253,465",93,1,1,1,1,0,0,98,178,31,0
66,22,23,10,5,4,179,26,9,30,"253,465",93,0,3,0,0,0,0,56,171,19,1
67,3,23,10,6,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,3
68,28,23,10,6,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3
69,34,23,10,3,4,118,10,10,37,"253,465",93,0,1,0,0,0,0,83,172,28,3
70,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2
71,33,23,10,4,4,248,25,14,47,"253,465",93,0,1,2,0,0,1,86,165,32,2
72,15,23,10,5,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,5
73,3,23,10,4,4,179,51,18,38,"253,465",93,0,1,0,1,0,0,89,170,31,8
74,28,23,10,4,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,3
75,20,19,10,5,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,16
76,15,14,10,3,4,291,31,12,40,"253,465",93,0,1,1,1,0,1,73,171,25,8
77,28,28,10,3,4,225,26,9,28,"253,465",93,0,1,1,0,0,2,69,169,24,2
78,11,26,10,4,4,289,36,13,33,"253,465",93,0,1,2,1,0,1,90,172,30,8
79,10,23,10,6,4,361,52,3,28,"253,465",93,0,1,1,1,0,4,80,172,27,1
80,20,28,10,6,4,260,50,11,36,"253,465",93,0,1,4,1,0,0,65,168,23,3
81,3,23,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,1
82,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
83,3,13,11,5,4,179,51,18,38,"306,345",93,0,1,0,1,0,0,89,170,31,8
84,17,21,11,5,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,8
85,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,5
86,14,10,11,2,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,32
87,6,22,11,2,4,189,29,13,33,"306,345",93,0,1,2,0,0,2,69,167,25,8
88,15,14,11,2,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,40
89,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,1
90,14,6,11,6,4,155,12,14,34,"306,345",93,0,1,2,1,0,0,95,196,25,8
91,28,23,11,4,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3
92,17,21,11,4,4,179,22,17,40,"306,345",93,0,2,2,0,1,0,63,170,22,8
93,28,13,11,6,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3
94,20,28,11,6,4,260,50,11,36,"306,345",93,0,1,4,1,0,0,65,168,23,4
95,33,28,11,2,4,248,25,14,47,"306,345",93,0,1,2,0,0,1,86,165,32,1
96,28,28,11,3,4,225,26,9,28,"306,345",93,0,1,1,0,0,2,69,169,24,3
97,11,7,11,4,4,289,36,13,33,"306,345",93,0,1,2,1,0,1,90,172,30,24
98,15,23,11,5,4,291,31,12,40,"306,345",93,0,1,1,1,0,1,73,171,25,3
