,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,att1, att2, att3, att4, att5, att6, att7, att8, att9, att10, att11, att12, att13, att14, att15, att16, att17, att18, att19, att20, att21, att22, att23, att24, att25, att26, att27, att28, att29, att30, att31, att32, att33, att34, att35, att36, att37, att38, att39, att40, att41, att42, att43, att44, att45, att46, att47, att48, att49, att50, att51, att52, att53, att54, att55, att56, att57, att58, att59, att60, att61, att62, att63, att64, att65, att66, att67, att68, att69, att70, att71, att72, att73, att74, att75, att76, att77, att78, att79, att80, att81, att82, att83, att84, att85, att86, att87, att88, att89, att90, att91, att92, att93, att94, att95, att96, att97, att98, att99, att100, att101, att102, att103, att104, att105, att106, att107, att108, att109, att110, att111, att112, att113, att114, att115, att116, att117, att118, att119, att120, att121, att122, att123, att124, att125, class
1,6.4,550,92,3.15,78.2,6040,1.53,83.7, v2,0.791,1.71,0.35,7.1, v2,6.4,0.416, v3,624,2.4,0.313,58,59035,50715, v2, v1,7.16,6.71, v1,20,67130,3513,4.4,0.74,79.3, v3,57.6,72863,63150,2.44,1.61,0.52, v3, v3,71.1,435,2.9,5.46, v2,64,16,7.3,5.38,0.35,3.63,8.2,0.85, v2, v4,38.4,83,4280, v1,22.1,345, v3,37763,4115,65.7,56787,24143,872,27509,0.1,41422,2870,0.64,0.84, v3,2.3, v4,0.051,0.538,1.32,565, v1,21,41067,5170, v1,34305, v1,76,8777,5.42,30, v1,622,64.3,0.231,618, v3,64706,7064, v3,0.81,0.306,0.55,44,63.6,422,276,28,542,4.88,22, v3,0.77,4753,904,0.93,2.9, v1,27.6,294,739, class4
2,3.1,542,70.2,4.04,79.1,6464,1.56,94.7, v1,0.738,1.37,0.62,5.8, v3,7.7,0.465, v1,754,4.4,0.466,18,73891,57492, v3, v1,6.42,9.87, v2,36,72176,3282,4.6,0.86,41.3, v3,57.7,59828,51331,1.54,1.67,0.36, v3, v3,72.7,458,3,4.68, v1,90,21,7.3,6.11,0.06,5.38,4.8,0.77, v2, v3,38.3,34,5080, v1,36.9,265, v1,35920,5549,58.7,60878,28686,817,37720,0.07,78147,3839,0.59,0.36, v1,5.9, v3,0.026,0.441,8.74,578, v2,17,31108,9306, v1,63286, v2,61,8812,7.71,25, v2,478,72,0.221,748, v1,64727,5190, v1,0.9,0.288,0.55,86,51.2,602,292,77,538,4.87,25, v2,0.45,6952,905,0.91,5.2, v1,28.5,660,705, class4
3,3.2,579,90.9,4.16,76.7,6395,7.27,84.4, v1,0.737,1.19,0.5,6.3, v2,8.2,0.62, v3,296,0.5,0.315,22,27084,43200, v3, v2,5.66,5.25, v2,28,74647,3352,5.9,0.69,76.6, v2,66.8,56765,57586,2.83,1.63,0.15, v2, v1,63.4,452,2.9,5.49, v1,54,53,4.6,4.72,0.33,3.73,9.4,0.61, v4, v2,24.4,41,4337, v1,52.4,210, v2,47199,5563,64.1,63687,29772,925,39831,0.3,40589,4223,0.48,0.38, v3,5.2, v2,0.274,0.214,9.35,524, v2,57,31504,8044, v2,21427, v1,55,8700,7.54,55, v2,543,64.3,0.287,746, v2,65531,5614, v2,0.63,0.307,0.62,43,33.1,946,276,48,533,4.64,78, v1,0.45,4664,897,0.84,1.1, v1,27.7,546,688, class1
4,3.1,609,78.2,3.02,78.6,5678,8.04,88.2, v2,0.806,0.35,0.4,7.1, v3,8.2,0.593, v1,776,3.1,0.469,77,56733,57898, v3, v1,4.59,8.78, v2,29,69981,3625,4.6,0.94,79.8, v2,62.1,87301,65483,2.05,1.67,0.53, v1, v2,35.9,437,2,3.06, v1,51,14,7.1,6.21,0.15,3.56,8.9,0.24, v3, v4,38.4,87,5218, v2,82.6,331, v3,44132,4581,59.2,59147,31604,864,40363,0.09,61571,4266,0.64,0.19, v3,4.4, v4,0.301,0.815,1.55,560, v2,67,47099,6438, v1,21200, v2,72,8820,4.13,36, v1,643,76.5,0.236,730, v1,61895,6637, v2,0.51,0.41,0.33,44,68.7,947,325,25,503,4.63,48, v3,0.56,4762,873,0.48,1.3, v2,27.7,646,783, class4
5,2.7,557,81,4.03,78.9,6508,9,84.5, v1,0.79,0.56,0.12,5.8, v3,5.5,0.388, v1,264,4.3,0.475,31,56988,37681, v2, v1,7.13,7.8, v2,43,79018,3700,4.8,0.82,62.2, v3,57.6,53669,55951,1.63,2.11,0.15, v2, v3,38.3,455,2.5,0.62, v1,57,52,7.3,7.4,0.35,6.08,8.2,0.66, v4, v4,22.9,79,4866, v1,52.8,331, v3,36808,5441,55.6,67512,27107,857,40186,0.32,68032,3950,0.82,0.88, v3,2.4, v3,0.155,0.897,4.29,582, v2,37,30783,8264, v3,73450, v3,73,8793,5.03,68, v2,496,74.3,0.2,744, v3,54854,7281, v3,0.89,0.402,0.54,84,71,734,286,36,535,4.86,50, v3,0.48,4649,822,0.86,1.2, v1,47,642,665, class1
6,3.2,553,75.6,3.02,79,6943,7.65,83.1, v2,0.745,1.17,0.47,6.8, v1,4.1,0.626, v2,710,0.7,0.316,32,72839,43516, v2, v2,4.7,4.82, v2,36,75710,3379,4.9,0.38,60.3, v1,58.1,20283,63968,1.31,1.48,0.71, v1, v3,67.4,442,3.7,5.6, v2,59,13,6.3,4.77,0.06,5.83,8.7,0.64, v4, v2,35.1,81,5265, v2,81.8,337, v2,29545,5163,62.6,77887,33922,768,20769,0.33,64421,3907,0.47,0.22, v3,4.1, v4,0.049,0.829,8.65,570, v1,66,29807,8024, v1,33723, v1,57,8915,6.82,47, v2,478,73.8,0.287,655, v2,65909,5847, v1,0.58,0.276,0.34,43,43.1,893,275,37,512,4.63,92, v1,0.57,6901,776,0.37,5.4, v1,69.6,644,632, class1
7,3.1,593,76.9,3.06,78.4,8451,3.53,94.6, v1,0.743,1.6,0.75,7.4, v2,5.8,0.722, v2,483,2.8,0.225,78,60259,43845, v1, v2,4.81,5.74, v2,48,60384,2945,4.2,0.43,45.5, v2,61.5,32833,59321,2.47,1.72,0.14, v1, v4,54.6,456,1.8,4.44, v1,68,38,1.6,8.04,0.05,3.79,4.7,0.9, v2, v4,34.8,59,5338, v1,70.4,354, v2,35059,5393,61.5,66530,29088,868,39443,0.14,77225,4146,0.65,0.2, v2,4.7, v2,0.344,0.329,1.92,467, v2,33,51023,5201, v2,21431, v2,51,8806,4.61,26, v1,411,75.9,0.231,524, v1,54830,7361, v2,0.54,0.283,0.35,91,75.9,458,272,56,534,4.58,45, v3,0.52,5829,713,0.56,5.7, v1,65.9,649,801, class1
8,2.7,554,69.7,4.1,77.2,6020,8.85,86, v2,0.748,1.47,0.4,7, v1,7.7,0.617, v3,515,2.5,0.753,72,73767,52043, v2, v2,6.53,5.46, v3,24,79202,3269,3.3,0.38,78.8, v2,59.9,50789,65782,1.89,1.86,0.39, v2, v2,31.5,444,2.9,2.38, v2,67,22,7.2,8.14,0.05,4.55,6.8,0.89, v3, v2,34.6,63,5248, v1,52.7,337, v1,38848,4445,63.9,56852,23463,728,23874,0.1,63124,5293,0.5,0.19, v2,3.9, v1,0.047,0.836,0.92,507, v3,52,41291,5162, v1,64491, v2,74,8856,7.5,30, v2,406,61.5,0.331,746, v1,60341,7263, v3,0.51,0.403,0.31,43,50.1,392,273,24,511,4.45,40, v3,0.44,4661,707,0.89,5.6, v2,27,694,661, class1
9,5.6,572,78.4,3,77.1,5390,1.42,89.1, v1,0.744,1.48,0.38,4.4, v1,8.2,0.408, v2,127,2.3,0.199,30,33947,39418, v1, v1,7.08,1.52, v1,18,61059,3568,3.4,0.53,81.3, v1,65.5,69033,59672,1.33,1.49,0.49, v1, v4,33.4,419,2.9,7.3, v2,81,53,7.3,6.21,0.15,4.56,9.6,0.62, v3, v1,33,82,5333, v2,20.3,225, v1,29249,3079,63.3,56911,31514,906,38626,0.09,41253,4304,0.64,0.55, v3,3.5, v1,0.275,0.239,3.89,561, v3,26,54354,6042, v3,19027, v1,66,8875,5.17,33, v2,553,57.3,0.288,744, v2,64763,6925, v1,0.87,0.404,0.36,48,84.7,928,258,40,531,4.57,83, v1,0.47,7980,613,0.48,3.6, v1,44.9,224,719, class1
10,3.1,560,70,2.75,76.5,5921,9.03,87.8, v1,0.879,1.31,0.56,7.2, v2,8.2,0.547, v2,803,2.1,0.753,53,58837,60019, v3, v3,6.63,4.09, v1,47,82696,3889,2.5,0.74,95.5, v2,57.9,60656,43007,1.83,1.74,0.17, v2, v4,31.9,450,4.1,5.72, v1,88,21,7.1,6.3,0.1,5.99,4.8,0.88, v4, v2,37.6,84,4268, v1,43.6,366, v3,40296,5377,51.4,78998,28486,790,37434,0.31,53832,4005,0.5,0.84, v3,5.1, v1,0.344,0.92,6.04,467, v2,67,52699,6736, v3,46674, v1,78,8764,5.51,39, v2,652,71.5,0.265,745, v3,77897,8025, v2,0.78,0.267,0.37,86,41,670,276,27,545,4.57,90, v3,0.58,5307,687,0.93,3.9, v2,64.1,293,627, class1
11,7.6,566,69.9,3.23,78.3,7517,1.23,90.8, v2,0.74,1.52,0.06,5.5, v1,4.6,0.367, v3,295,2.3,0.465,66,53002,42417, v2, v1,4.62,1.2, v3,30,64181,3471,4.6,0.42,76.8, v1,64.7,78259,63627,0.83,2.48,0.49, v1, v3,33.1,419,2.9,0.55, v1,64,54,3.6,7.56,0.2,4.1,4.7,0.76, v4, v2,34.7,65,4178, v1,52.6,345, v3,35554,5174,56.7,68493,33481,765,37987,0.02,77615,4380,0.49,0.86, v3,4.3, v2,0.165,0.203,2.1,532, v2,42,30011,6075, v3,66976, v1,57,8815,5.35,63, v2,652,57.5,0.341,484, v1,54815,5363, v4,0.56,0.303,0.41,66,68,506,331,70,526,4.51,91, v2,0.45,5099,902,0.29,5.4, v2,69,693,593, class4
