,Choral ID,Event number,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Pitch classes,Bass,Meter,Chord label
0,000106b_,1,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
1,000106b_,2,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,5, C_M
2,000106b_,3,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2, C_M
3,000106b_,4,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
4,000106b_,5,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
5,000106b_,6, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,4, D_m
6,000106b_,7, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2, D_m
7,000106b_,8,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3, F_M
8,000106b_,9,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,2, F_M
9,000106b_,10, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5, BbM
10,000106b_,11, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,1, BbM
11,000106b_,12,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,C,2, BbM
12,000106b_,13,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,C,1, BbM
13,000106b_,14, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,3, BbM
14,000106b_,15, NO, NO,YES, NO,YES,YES, NO,YES, NO, NO,YES, NO,E,2, BbM
15,000106b_,16,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
16,000106b_,17,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
17,000106b_,18, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5, BbM
18,000106b_,19, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2, BbM
19,000106b_,20, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,Bb,1, BbM
20,000106b_,21, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES,YES, NO,A,3, C_M7
21,000106b_,22,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,2, C_M7
22,000106b_,23, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,1, C_M7
23,000106b_,24,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,4, F_M
24,000106b_,25, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,2, F_M
25,000106b_,26,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3, C_M
26,000106b_,27,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2, C_M
27,000106b_,28,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5, D_m7
28,000106b_,29, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO,YES,F,2, D_m7
29,000106b_,30, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO, NO,F,1, D_m7
30,000106b_,31, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES,G,3, G_M
31,000106b_,32,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,4, C_M
32,000106b_,33,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
33,000106b_,34, NO, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
34,000106b_,35, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5, BbM
35,000106b_,36, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2, BbM
36,000106b_,37,YES, NO, NO, NO,YES, NO, NO, NO, NO,YES, NO, NO,C,3, A_m
37,000106b_,38,YES, NO, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,C,2, A_m
38,000106b_,39, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,D,4, C_M7
39,000106b_,40,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,E,2, C_M7
40,000106b_,41,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
41,000106b_,42,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
42,000106b_,43,YES, NO, NO, NO, NO,YES, NO,YES, NO, NO, NO, NO,C,5, C_M4
43,000106b_,44,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,2, C_M4
44,000106b_,45,YES, NO, NO, NO, NO,YES, NO,YES, NO,YES, NO, NO,C,1, C_M4
45,000106b_,46,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,3, C_M7
46,000106b_,47,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,2, C_M7
47,000106b_,48,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,C,1, C_M7
48,000106b_,49,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
49,000106b_,50,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
50,000106b_,51,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,5, C_M
51,000106b_,52,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,E,2, C_M
52,000106b_,53,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
53,000106b_,54,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,2, F_M
54,000106b_,55, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,4, D_m
55,000106b_,56, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,D,2, D_m
56,000106b_,57,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,3, F_M
57,000106b_,58,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,2, F_M
58,000106b_,59, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5, BbM
59,000106b_,60, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,1, BbM
60,000106b_,61,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,C,2, BbM
61,000106b_,62,YES, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,C,1, BbM
62,000106b_,63, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,D,3, BbM
63,000106b_,64, NO, NO,YES, NO,YES,YES, NO,YES, NO, NO,YES, NO,E,2, BbM
64,000106b_,65,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,4, F_M
65,000106b_,66,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,3, F_M
66,000106b_,67, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,YES, NO,Bb,5, BbM
67,000106b_,68, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO,YES, NO,Bb,2, BbM
68,000106b_,69, NO, NO,YES, NO, NO,YES, NO, NO, NO,YES,YES, NO,Bb,1, BbM
69,000106b_,70, NO, NO, NO, NO,YES, NO, NO,YES, NO,YES,YES, NO,A,3, C_M7
70,000106b_,71,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,2, C_M7
71,000106b_,72, NO, NO, NO, NO,YES, NO, NO,YES, NO, NO,YES, NO,G,1, C_M7
72,000106b_,73,YES, NO, NO, NO, NO,YES, NO, NO, NO,YES, NO, NO,A,4, F_M
73,000106b_,74, NO, NO,YES, NO, NO,YES, NO,YES, NO, NO, NO,YES,B,2, F_M
74,000106b_,75,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,3, C_M
75,000106b_,76,YES, NO, NO, NO,YES, NO, NO,YES, NO, NO, NO, NO,C,2, C_M
76,000106b_,77,YES, NO,YES, NO, NO,YES, NO, NO, NO,YES, NO, NO,F,5, D_m7
77,000106b_,78, NO, NO,YES, NO,YES,YES, NO, NO, NO,YES, NO,YES,F,2, D_m7
