age,job,marital,education,default,balance,housing-loan,personal-loan,current-campaign,previous-campaign,subscribed
30,unemployed,married,primary,no,1787,no,no,1,0,no
33,services,married,secondary,no,4789,yes,yes,1,4,no
35,management,single,tertiary,no,1350,yes,no,1,1,no
30,management,married,tertiary,no,1476,yes,yes,4,0,no
59,blue-collar,married,secondary,no,0,yes,no,1,0,no
35,management,single,tertiary,no,747,no,no,2,3,no
36,self-employed,married,tertiary,no,307,yes,no,1,2,no
39,technician,married,secondary,no,147,yes,no,2,0,no
41,entrepreneur,married,tertiary,no,221,yes,no,2,0,no
43,services,married,primary,no,-88,yes,yes,1,2,no
39,services,married,secondary,no,9374,yes,no,1,0,no
43,admin.,married,secondary,no,264,yes,no,2,0,no
36,technician,married,tertiary,no,1109,no,no,2,0,no
20,student,single,secondary,no,502,no,no,1,0,yes
31,blue-collar,married,secondary,no,360,yes,yes,1,1,no
40,management,married,tertiary,no,194,no,yes,2,0,no
56,technician,married,secondary,no,4073,no,no,5,0,no
37,admin.,single,tertiary,no,2317,yes,no,1,2,no
25,blue-collar,single,primary,no,-221,yes,no,1,0,no
31,services,married,secondary,no,132,no,no,1,1,no
38,management,divorced,unknown,no,0,yes,no,2,0,no
42,management,divorced,tertiary,no,16,no,no,3,0,no
44,services,single,secondary,no,106,no,no,2,0,no
44,entrepreneur,married,secondary,no,93,no,no,2,0,no
26,housemaid,married,tertiary,no,543,no,no,3,0,no
41,management,married,tertiary,no,5883,no,no,2,0,no
55,blue-collar,married,primary,no,627,yes,no,1,0,no
67,retired,married,unknown,no,696,no,no,1,2,no
56,self-employed,married,secondary,no,784,no,yes,2,0,no
53,admin.,married,secondary,no,105,no,yes,2,0,no
68,retired,divorced,secondary,no,4189,no,no,2,0,yes
31,technician,married,secondary,no,171,no,no,3,0,no
59,management,married,secondary,no,42,no,no,1,0,no
32,management,single,tertiary,no,2536,yes,no,6,0,yes
49,technician,married,tertiary,no,1235,no,no,3,0,yes
42,admin.,divorced,secondary,no,1811,yes,no,1,0,no
78,retired,divorced,primary,no,229,no,no,1,0,yes
32,blue-collar,married,secondary,no,2089,yes,no,1,0,yes
33,management,married,secondary,no,3935,yes,no,1,2,yes
23,services,single,tertiary,no,363,yes,no,18,0,no
38,management,single,tertiary,no,11971,yes,no,2,3,no
36,management,single,tertiary,no,553,no,no,2,0,no
52,blue-collar,married,secondary,no,1117,yes,no,1,0,no
32,technician,married,tertiary,no,396,yes,no,3,0,no
32,technician,single,tertiary,no,2204,yes,no,4,0,no
34,management,single,tertiary,no,872,yes,no,2,0,no
55,blue-collar,married,primary,no,145,no,no,3,2,no
26,blue-collar,married,primary,no,0,yes,no,1,0,no
32,entrepreneur,single,primary,yes,-849,yes,yes,1,0,no
61,admin.,married,unknown,no,4629,yes,no,1,1,yes
45,blue-collar,divorced,primary,no,844,no,no,3,0,yes
37,technician,single,secondary,no,228,yes,no,2,0,no
38,technician,single,secondary,no,50,no,no,2,0,no
34,technician,married,tertiary,no,1539,yes,no,1,1,yes
53,blue-collar,married,secondary,no,2231,yes,no,3,0,no
48,admin.,married,secondary,no,3064,yes,no,2,0,no
57,management,married,secondary,no,82,no,yes,1,0,no
33,self-employed,single,tertiary,no,2155,no,no,1,0,no
36,retired,single,secondary,no,101,yes,yes,1,0,no
54,technician,divorced,secondary,no,784,yes,yes,1,0,no
41,blue-collar,married,primary,no,-516,no,yes,3,0,no
63,retired,married,secondary,no,415,yes,no,1,0,no
48,management,married,tertiary,no,5887,no,no,2,0,no
48,services,married,secondary,no,1355,no,no,2,0,no
56,admin.,married,secondary,no,16873,no,no,1,0,no
51,blue-collar,divorced,secondary,no,203,yes,no,1,5,no
31,services,married,secondary,no,338,yes,no,1,0,no
29,technician,married,secondary,no,444,yes,no,4,0,no
41,management,married,secondary,no,0,no,yes,3,0,no
32,technician,single,tertiary,no,360,no,no,2,0,no
37,management,married,tertiary,no,0,no,no,2,3,yes
42,entrepreneur,divorced,tertiary,yes,2,yes,no,1,0,no
31,management,single,tertiary,no,6248,yes,no,2,0,no
41,services,married,tertiary,no,412,yes,no,5,0,no
56,retired,married,secondary,no,344,yes,no,1,0,no
54,management,divorced,tertiary,no,3222,no,no,2,0,no
41,blue-collar,divorced,secondary,no,174,yes,no,2,1,no
40,technician,single,secondary,no,591,no,yes,6,0,no
50,blue-collar,divorced,primary,no,388,no,no,1,0,no
40,unemployed,married,secondary,no,219,yes,no,2,1,no
27,admin.,divorced,secondary,no,451,yes,no,1,0,yes
60,retired,married,primary,no,5,no,no,2,0,no
28,admin.,single,secondary,no,177,yes,yes,1,0,no
52,services,married,secondary,no,657,no,no,2,2,yes
37,management,married,tertiary,no,1315,no,no,1,0,yes
51,blue-collar,married,primary,no,1466,yes,no,2,0,no
41,technician,single,secondary,no,879,no,yes,4,0,no
35,blue-collar,single,primary,no,293,yes,no,2,0,no
38,admin.,married,secondary,no,424,yes,no,1,0,no
34,blue-collar,married,secondary,no,1831,yes,no,2,0,no
39,blue-collar,married,primary,no,111,no,no,2,0,no
34,blue-collar,married,primary,no,455,yes,no,3,0,no
27,services,single,secondary,no,-195,yes,no,1,0,yes
32,management,single,tertiary,no,3616,no,no,2,0,no
57,blue-collar,married,secondary,no,14093,no,no,5,0,no
41,unknown,single,tertiary,no,1567,no,no,2,0,no
41,admin.,married,tertiary,no,5426,yes,no,2,0,no
30,admin.,single,tertiary,no,261,no,no,1,20,no
36,blue-collar,divorced,secondary,no,2843,no,no,1,1,no
31,unemployed,single,primary,no,406,no,no,1,0,yes
36,blue-collar,married,secondary,no,0,yes,no,1,0,no
38,management,single,tertiary,no,493,yes,no,1,7,no
49,technician,married,secondary,no,5996,no,no,2,0,no
57,services,single,primary,no,3777,yes,no,2,0,no
34,management,single,secondary,no,524,no,no,1,0,no
32,management,single,tertiary,no,574,yes,no,2,3,no
37,blue-collar,married,secondary,no,427,yes,yes,3,0,no
33,self-employed,married,tertiary,no,483,yes,no,2,0,no
56,unemployed,married,primary,no,3391,no,no,1,0,yes
27,housemaid,married,primary,no,0,yes,no,3,0,no
21,student,single,secondary,no,2488,no,no,6,3,yes
58,management,married,tertiary,no,1517,yes,no,5,0,no
32,self-employed,married,secondary,no,217,yes,yes,5,0,no
33,blue-collar,single,secondary,no,22,no,no,2,1,no
25,student,single,secondary,no,331,no,no,4,0,yes
25,technician,single,secondary,no,505,no,yes,2,0,yes
30,services,married,secondary,no,1808,yes,no,2,0,no
22,admin.,single,secondary,no,4111,no,yes,1,0,no
39,blue-collar,married,primary,no,52,no,no,1,0,no
46,management,divorced,tertiary,no,25,no,no,2,0,no
31,admin.,divorced,secondary,no,1890,yes,no,1,0,no
45,blue-collar,married,primary,no,419,no,no,4,0,no
32,technician,married,secondary,no,2693,yes,no,1,0,no
36,blue-collar,married,secondary,no,-231,no,yes,2,0,no
51,management,single,tertiary,yes,-55,yes,no,2,6,no
34,self-employed,single,tertiary,no,462,no,no,3,0,yes
24,unemployed,single,secondary,no,119,no,no,1,0,no
45,technician,single,secondary,no,586,no,yes,3,0,no
32,blue-collar,single,secondary,no,228,no,no,1,3,no
77,retired,divorced,tertiary,no,4659,no,no,1,0,yes
41,blue-collar,married,primary,no,168,yes,no,3,0,no
37,blue-collar,married,primary,no,0,yes,no,1,0,no
43,blue-collar,married,unknown,yes,-715,yes,no,3,0,no
48,admin.,married,unknown,no,0,yes,no,1,2,no
27,technician,single,secondary,no,769,yes,no,2,0,no
33,management,single,tertiary,no,0,no,no,10,0,no
29,admin.,single,secondary,no,428,yes,yes,1,2,no
34,management,single,tertiary,no,0,no,no,1,0,no
52,management,married,tertiary,no,-970,yes,no,1,0,yes
60,management,married,unknown,no,6313,no,no,2,0,no
32,management,divorced,tertiary,no,948,no,no,2,0,no
32,management,single,tertiary,no,0,yes,no,2,0,no
56,services,divorced,unknown,no,1877,yes,no,1,0,no
31,management,single,tertiary,no,874,yes,no,2,0,no
42,admin.,married,secondary,no,323,yes,yes,2,0,no
35,management,married,tertiary,no,106,no,yes,2,0,no
56,retired,married,primary,no,1906,no,yes,9,0,no
48,technician,married,secondary,no,1152,yes,no,5,0,no
46,admin.,married,secondary,no,179,yes,no,4,1,no
37,technician,single,unknown,no,391,yes,no,3,0,no
41,entrepreneur,married,unknown,no,89,yes,no,2,0,no
