,DS_Name categorical Name of DataSet,T continuous Number of examples in test set,Ncontinuous Number of examples,p continuous Number of attributes,k continuous Number of classes,Bin continuous Number of binary Attributes,"Cost continuous Cost (1=yes,0=no)",SDratio continuous Standard deviation ratio,correl continuous Mean correlation between attributes,cancor1 continuous First canonical correlation,cancor2 continuous Second canonical correlation,fract1 continuous First eigenvalue,fract2 continuous Second eigenvalue,skewness continuous Mean of |E(X-Mean)|^3/STD^3,kurtosis continuous Mean of |E(X-Mean)|^4/STD^4, Hc continuous Mean entropy of attributes,Hx continuous Entropy of classes, MCx continuous Mean mutual entropy of class and attributes, EnAtr continuous Equivalent number of attributes,NSRatio continuous Noise-signal ratio,Alg_Name categorical Name of Algorithm,Norm_error continuous Normalized Error (continuous class)
0,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Ac2,3.8930000000000002
1,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Alloc80,5.45
2,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,BackProp,1.791
3,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Bayes,1.557
4,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,BayesTree,3.114
5,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,C4.5,1.868
6,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,CART,1.09
7,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Cal5,0.0
8,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Cascade,67.655
9,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Castle,1.324
10,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Cn2,5.683
11,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Default,24.057
12,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Dipol92,0.779
13,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Discrim,0.779
14,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,ITrule,0.467
15,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,IndCART,1.635
16,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,KNN,3.8930000000000002
17,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Kohonen,67.655
18,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,LVQ,5.138
19,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,LogDisc,0.779
20,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,NewId,3.8930000000000002
21,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,QuaDisc,5.917000000000001
22,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,RBF,1.09
23,Aust_Credit,690,690,14,2,4,0,1.2623,0.1024,0.7713,?,1.0,?,1.9701,12.5538,0.9912,2.3012,0.113,8.77168142,19.364601800000003,Smart,2.102
24,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Ac2,9.035
25,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Alloc80,9.939
26,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,BackProp,2.7110000000000003
27,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,Bayes,20.781
28,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,BayesTree,7.228
29,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,C4.5,1.807
30,BT,16000,20000,7,2,0,0,1.0975,0.1146,0.6109,?,1.0,?,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444444,54.3858586,CART,885.438
