,parents,has_nurs,form,children,housing,finance,social,health,target
0,usual,proper,complete,1,convenient,convenient,nonprob,recommended,recommend
1,usual,proper,complete,1,convenient,convenient,nonprob,priority,priority
2,usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
3,usual,proper,complete,1,convenient,convenient,slightly_prob,recommended,recommend
4,usual,proper,complete,1,convenient,convenient,slightly_prob,priority,priority
5,usual,proper,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
6,usual,proper,complete,1,convenient,convenient,problematic,recommended,priority
7,usual,proper,complete,1,convenient,convenient,problematic,priority,priority
8,usual,proper,complete,1,convenient,convenient,problematic,not_recom,not_recom
9,usual,proper,complete,1,convenient,inconv,nonprob,recommended,very_recom
10,usual,proper,complete,1,convenient,inconv,nonprob,priority,priority
11,usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
12,usual,proper,complete,1,convenient,inconv,slightly_prob,recommended,very_recom
13,usual,proper,complete,1,convenient,inconv,slightly_prob,priority,priority
14,usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
15,usual,proper,complete,1,convenient,inconv,problematic,recommended,priority
16,usual,proper,complete,1,convenient,inconv,problematic,priority,priority
17,usual,proper,complete,1,convenient,inconv,problematic,not_recom,not_recom
18,usual,proper,complete,1,less_conv,convenient,nonprob,recommended,very_recom
19,usual,proper,complete,1,less_conv,convenient,nonprob,priority,priority
20,usual,proper,complete,1,less_conv,convenient,nonprob,not_recom,not_recom
21,usual,proper,complete,1,less_conv,convenient,slightly_prob,recommended,very_recom
22,usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,priority
23,usual,proper,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
24,usual,proper,complete,1,less_conv,convenient,problematic,recommended,priority
25,usual,proper,complete,1,less_conv,convenient,problematic,priority,priority
26,usual,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recom
27,usual,proper,complete,1,less_conv,inconv,nonprob,recommended,very_recom
28,usual,proper,complete,1,less_conv,inconv,nonprob,priority,priority
29,usual,proper,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
30,usual,proper,complete,1,less_conv,inconv,slightly_prob,recommended,very_recom
31,usual,proper,complete,1,less_conv,inconv,slightly_prob,priority,priority
32,usual,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
33,usual,proper,complete,1,less_conv,inconv,problematic,recommended,priority
34,usual,proper,complete,1,less_conv,inconv,problematic,priority,priority
35,usual,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recom
36,usual,proper,complete,1,critical,convenient,nonprob,recommended,very_recom
37,usual,proper,complete,1,critical,convenient,nonprob,priority,priority
38,usual,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
39,usual,proper,complete,1,critical,convenient,slightly_prob,recommended,very_recom
40,usual,proper,complete,1,critical,convenient,slightly_prob,priority,priority
41,usual,proper,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
42,usual,proper,complete,1,critical,convenient,problematic,recommended,priority
43,usual,proper,complete,1,critical,convenient,problematic,priority,priority
44,usual,proper,complete,1,critical,convenient,problematic,not_recom,not_recom
45,usual,proper,complete,1,critical,inconv,nonprob,recommended,very_recom
46,usual,proper,complete,1,critical,inconv,nonprob,priority,priority
47,usual,proper,complete,1,critical,inconv,nonprob,not_recom,not_recom
48,usual,proper,complete,1,critical,inconv,slightly_prob,recommended,very_recom
49,usual,proper,complete,1,critical,inconv,slightly_prob,priority,priority
50,usual,proper,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
51,usual,proper,complete,1,critical,inconv,problematic,recommended,priority
52,usual,proper,complete,1,critical,inconv,problematic,priority,priority
53,usual,proper,complete,1,critical,inconv,problematic,not_recom,not_recom
54,usual,proper,complete,2,convenient,convenient,nonprob,recommended,very_recom
55,usual,proper,complete,2,convenient,convenient,nonprob,priority,priority
56,usual,proper,complete,2,convenient,convenient,nonprob,not_recom,not_recom
57,usual,proper,complete,2,convenient,convenient,slightly_prob,recommended,very_recom
58,usual,proper,complete,2,convenient,convenient,slightly_prob,priority,priority
59,usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
60,usual,proper,complete,2,convenient,convenient,problematic,recommended,priority
61,usual,proper,complete,2,convenient,convenient,problematic,priority,priority
62,usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
63,usual,proper,complete,2,convenient,inconv,nonprob,recommended,very_recom
64,usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
65,usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
66,usual,proper,complete,2,convenient,inconv,slightly_prob,recommended,very_recom
67,usual,proper,complete,2,convenient,inconv,slightly_prob,priority,priority
68,usual,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
69,usual,proper,complete,2,convenient,inconv,problematic,recommended,priority
70,usual,proper,complete,2,convenient,inconv,problematic,priority,priority
71,usual,proper,complete,2,convenient,inconv,problematic,not_recom,not_recom
72,usual,proper,complete,2,less_conv,convenient,nonprob,recommended,very_recom
73,usual,proper,complete,2,less_conv,convenient,nonprob,priority,priority
74,usual,proper,complete,2,less_conv,convenient,nonprob,not_recom,not_recom
75,usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,very_recom
76,usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,priority
77,usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
78,usual,proper,complete,2,less_conv,convenient,problematic,recommended,priority
79,usual,proper,complete,2,less_conv,convenient,problematic,priority,priority
80,usual,proper,complete,2,less_conv,convenient,problematic,not_recom,not_recom
81,usual,proper,complete,2,less_conv,inconv,nonprob,recommended,very_recom
82,usual,proper,complete,2,less_conv,inconv,nonprob,priority,priority
83,usual,proper,complete,2,less_conv,inconv,nonprob,not_recom,not_recom
84,usual,proper,complete,2,less_conv,inconv,slightly_prob,recommended,very_recom
85,usual,proper,complete,2,less_conv,inconv,slightly_prob,priority,priority
86,usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
87,usual,proper,complete,2,less_conv,inconv,problematic,recommended,priority
88,usual,proper,complete,2,less_conv,inconv,problematic,priority,priority
89,usual,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
90,usual,proper,complete,2,critical,convenient,nonprob,recommended,priority
91,usual,proper,complete,2,critical,convenient,nonprob,priority,priority
92,usual,proper,complete,2,critical,convenient,nonprob,not_recom,not_recom
93,usual,proper,complete,2,critical,convenient,slightly_prob,recommended,priority
94,usual,proper,complete,2,critical,convenient,slightly_prob,priority,priority
95,usual,proper,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
96,usual,proper,complete,2,critical,convenient,problematic,recommended,priority
97,usual,proper,complete,2,critical,convenient,problematic,priority,priority
98,usual,proper,complete,2,critical,convenient,problematic,not_recom,not_recom
99,usual,proper,complete,2,critical,inconv,nonprob,recommended,priority
100,usual,proper,complete,2,critical,inconv,nonprob,priority,priority
101,usual,proper,complete,2,critical,inconv,nonprob,not_recom,not_recom
102,usual,proper,complete,2,critical,inconv,slightly_prob,recommended,priority
103,usual,proper,complete,2,critical,inconv,slightly_prob,priority,priority
104,usual,proper,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
105,usual,proper,complete,2,critical,inconv,problematic,recommended,priority
106,usual,proper,complete,2,critical,inconv,problematic,priority,priority
107,usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recom
108,usual,proper,complete,3,convenient,convenient,nonprob,recommended,very_recom
109,usual,proper,complete,3,convenient,convenient,nonprob,priority,priority
110,usual,proper,complete,3,convenient,convenient,nonprob,not_recom,not_recom
111,usual,proper,complete,3,convenient,convenient,slightly_prob,recommended,very_recom
