Node Number;Thread Number;Spatial Distribution;Temporal Distribution;T/R;Processor Utilization ;Channel Waiting Time;Input Waiting Time;Network Response Time;Channel Utilization;;;;;
64;4;UN;Client-Server;0,1;0,839546;1,974686;308,491814;700,514102;0,352431;;;;;
64;4;UN;Client-Server;0,2;0,827412;9,556437;291,037663;864,599227;0,506302;;;;;
64;4;UN;Client-Server;0,3;0,802605;27,027618;264,928002;839,372851;0,638516;;;;;
64;4;UN;Client-Server;0,4;0,723403;61,848511;235,776888;1256,053108;0,767051;;;;;
64;4;UN;Client-Server;0,5;0,72121;121,085884;189,680044;1343,875577;0,807812;;;;;
64;4;UN;Client-Server;0,6;0,647035;205,881088;145,988097;1574,366301;0,841771;;;;;
64;4;UN;Client-Server;0,7;0,567402;284,999115;118,323674;1974,853192;0,85033;;;;;
64;4;UN;Client-Server;0,8;0,511627;368,157288;92,003542;1845,521914;0,865625;;;;;
64;4;UN;Client-Server;0,9;0,47056;431,169037;80,43286;2605,196106;0,888828;;;;;
64;4;UN;Client-Server;1;0,421877;505,119598;68,518468;2586,130982;0,882552;;;;;
64;6;UN;Client-Server;0,1;0,901173;2,153823;495,533336;866,002265;0,370026;;;;;
64;6;UN;Client-Server;0,2;0,897863;11,002777;469,872618;1188,628365;0,53691;;;;;
64;6;UN;Client-Server;0,3;0,871957;31,924433;447,158333;1351,075304;0,65737;;;;;
64;6;UN;Client-Server;0,4;0,853846;84,117371;395,848075;1413,081946;0,772778;;;;;
64;6;UN;Client-Server;0,5;0,796428;194,432526;311,877373;1804,085211;0,852561;;;;;
64;6;UN;Client-Server;0,6;0,731779;341,365112;217,600589;2114,035099;0,910729;;;;;
64;6;UN;Client-Server;0,7;0,640211;495,164948;157,213968;2275,428465;0,916259;;;;;
64;6;UN;Client-Server;0,8;0,568923;626,139282;121,870069;3297,253072;0,924583;;;;;
64;6;UN;Client-Server;0,9;0,514046;741,330261;101,696076;2923,876773;0,931484;;;;;
64;6;UN;Client-Server;1;0,463145;851,930115;86,442861;3808,98919;0,931076;;;;;
64;8;UN;Client-Server;0,1;0,923706;2,222387;688,57719;1141,277162;0,346441;;;;;
64;8;UN;Client-Server;0,2;0,922138;11,448802;664,122822;1192,856244;0,518889;;;;;
64;8;UN;Client-Server;0,3;0,928869;36,851643;622,974259;1456,320301;0,683047;;;;;
64;8;UN;Client-Server;0,4;0,911611;97,074905;559,575905;1949,797805;0,809028;;;;;
64;8;UN;Client-Server;0,5;0,850776;260,288574;438,777004;2531,21942;0,888976;;;;;
64;8;UN;Client-Server;0,6;0,768916;498,907104;281,908378;2677,461345;0,933802;;;;;
64;8;UN;Client-Server;0,7;0,673281;703,671875;202,216033;3430,493664;0,940807;;;;;
64;8;UN;Client-Server;0,8;0,601595;886,009094;147,831672;3378,167663;0,951667;;;;;
64;8;UN;Client-Server;0,9;0,538158;1042,865601;123,761679;4793,187737;0,955781;;;;;
64;8;UN;Client-Server;1;0,488247;1182,806885;108,13343;5033,174441;0,960156;;;;;
64;10;UN;Client-Server;0,1;0,961658;2,323333;865,229508;1212,364504;0,359453;;;;;
64;10;UN;Client-Server;0,2;0,950974;12,018917;845,739986;1818,518585;0,52724;;;;;
64;10;UN;Client-Server;0,3;0,938148;36,704994;814,701175;1860,231397;0,677891;;;;;
64;10;UN;Client-Server;0,4;0,934972;106,477081;726,08212;1910,845894;0,817049;;;;;
64;10;UN;Client-Server;0,5;0,911155;289,791046;561,201404;2968,873768;0,883964;;;;;
64;10;UN;Client-Server;0,6;0,954375;569,042358;328,673091;3327,975791;0,794956;;;;;
64;10;UN;Client-Server;0,7;0,960799;770,286499;237,074701;4402,212045;0,697823;;;;;
64;10;UN;Client-Server;0,8;0,626211;943,934143;176,311116;4042,570405;0,972709;;;;;
64;10;UN;Client-Server;0,9;0,557324;1112,935791;137,785534;5117,790831;0,972031;;;;;
64;10;UN;Client-Server;1;0,504446;1258,460205;125,978201;6065,736672;0,973524;;;;;
64;4;HR;Client-Server;0,1;0,549508;1,222985;327,044772;1327,334659;0,297951;;;;;
64;4;HR;Client-Server;0,2;0,509507;5,670937;328,113813;1501,504698;0,357118;;;;;
64;4;HR;Client-Server;0,3;0,531845;16,238094;303,152729;1517,024022;0,479036;;;;;
64;4;HR;Client-Server;0,4;0,519655;45,07972;279,317307;1455,789406;0,543299;;;;;
64;4;HR;Client-Server;0,5;0,515341;129,721649;198,615324;1881,893315;0,636632;;;;;
64;4;HR;Client-Server;0,6;0,452565;262,34314;117,981682;2090,345171;0,649635;;;;;
64;4;HR;Client-Server;0,7;0,381618;347,487946;96,904514;2511,787943;0,633707;;;;;
64;4;HR;Client-Server;0,8;0,355369;424,036957;72,491967;3071,20543;0,672917;;;;;
64;4;HR;Client-Server;0,9;0,32818;495,345062;64,535954;3621,956835;0,681484;;;;;
64;4;HR;Client-Server;1;0,282082;575,525146;51,514464;3681,474413;0,655035;;;;;
64;6;HR;Client-Server;0,1;0,572224;1,282619;500,454189;1708,165016;0,310929;;;;;
64;6;HR;Client-Server;0,2;0,557274;6,012516;479,164027;2103,200338;0,393715;;;;;
64;6;HR;Client-Server;0,3;0,585218;19,425623;458,150123;1875,405626;0,500182;;;;;
64;6;HR;Client-Server;0,4;0,591425;45,844761;455,109135;2280,018142;0,620903;;;;;
64;6;HR;Client-Server;0,5;0,557459;180,532654;342,885502;2637,788002;0,678125;;;;;
64;6;HR;Client-Server;0,6;0,517327;358,594482;230,493497;2629,292325;0,721146;;;;;
64;6;HR;Client-Server;0,7;0,458381;558,683594;126,359342;3158,973789;0,728741;;;;;
64;6;HR;Client-Server;0,8;0,401393;662,153564;109,862502;3844,868921;0,728264;;;;;
64;6;HR;Client-Server;0,9;0,365252;781,969604;86,830904;4843,121879;0,725547;;;;;
64;6;HR;Client-Server;1;0,338053;868,8797;86,709082;5131,942593;0,738628;;;;;
64;8;HR;Client-Server;0,1;0,567314;1,354892;662,928251;2119,201174;0,265434;;;;;
64;8;HR;Client-Server;0,2;0,601986;7,1774;656,473887;2342,016821;0,407031;;;;;
64;8;HR;Client-Server;0,3;0,649676;21,905952;619,675549;2655,360904;0,548307;;;;;
64;8;HR;Client-Server;0,4;0,627225;53,570431;601,248564;2517,612877;0,638264;;;;;
64;8;HR;Client-Server;0,5;0,609125;193,282196;507,519015;2658,641154;0,71276;;;;;
64;8;HR;Client-Server;0,6;0,564138;472,804352;322,66365;3926,536213;0,757448;;;;;
64;8;HR;Client-Server;0,7;0,49258;717,856323;189,742882;4291,11536;0,75645;;;;;
64;8;HR;Client-Server;0,8;0,440587;889,111389;139,782762;4418,932026;0,76625;;;;;
64;8;HR;Client-Server;0,9;0,409357;966,465942;144,69665;4776,873467;0,785234;;;;;
64;8;HR;Client-Server;1;0,375879;1121,980713;108,468607;4901,47212;0,784288;;;;;
64;10;HR;Client-Server;0,1;0,63489;1,522023;805,937932;2383,059193;0,308611;;;;;
64;10;HR;Client-Server;0,2;0,625327;7,723398;799,71602;2440,137766;0,40151;;;;;
64;10;HR;Client-Server;0,3;0,654058;22,386116;792,572565;3084,570291;0,559245;;;;;
64;10;HR;Client-Server;0,4;0,66297;63,343914;750,52034;3079,737616;0,664514;;;;;
64;10;HR;Client-Server;0,5;0,645673;200,854584;644,088642;3821,53383;0,742057;;;;;
64;10;HR;Client-Server;0,6;0,591505;456,956177;447,4156;3767,82198;0,776667;;;;;
64;10;HR;Client-Server;0,7;0,521848;689,914368;272,809553;4885,31403;0,774557;;;;;
64;10;HR;Client-Server;0,8;0,490651;834,243164;202,79287;4445,629398;0,820486;;;;;
64;10;HR;Client-Server;0,9;0,452518;974,687012;166,741261;5406,725208;0,846172;;;;;
64;10;HR;Client-Server;1;0,41892;1099,184082;141,082172;5578,782966;0,849566;;;;;
64;4;BR;Client-Server;0,1;0,905039;2,064371;312,112215;421,877284;0,2023;;;;;
64;4;BR;Client-Server;0,2;0,900025;10,150197;286,822622;470,197916;0,384201;;;;;
64;4;BR;Client-Server;0,3;0,883719;27,690582;257,634588;525,910576;0,549167;;;;;
64;4;BR;Client-Server;0,4;0,853155;63,448967;217,084157;608,76642;0,693715;;;;;
64;4;BR;Client-Server;0,5;0,81232;118,239517;167,018717;742,125137;0,816536;;;;;
64;4;BR;Client-Server;0,6;0,749235;183,529724;124,98469;826,143227;0,895417;;;;;
64;4;BR;Client-Server;0,7;0,675295;253,750458;94,723194;961,642973;0,936189;;;;;
64;4;BR;Client-Server;0,8;0,605546;326,512787;70,481463;1201,631933;0,956806;;;;;
