,S1,C1,S2,C2,S3,C3,S4,C4,S5,C5,CLASS
0,1,10,1,11,1,13,1,12,1,1,9
1,2,11,2,13,2,10,2,12,2,1,9
2,3,12,3,11,3,13,3,10,3,1,9
3,4,10,4,11,4,1,4,13,4,12,9
4,4,1,4,13,4,12,4,11,4,10,9
5,1,2,1,4,1,5,1,3,1,6,8
6,1,9,1,12,1,10,1,11,1,13,8
7,2,1,2,2,2,3,2,4,2,5,8
8,3,5,3,6,3,9,3,7,3,8,8
9,4,1,4,4,4,2,4,3,4,5,8
10,1,1,2,1,3,9,1,5,2,3,1
11,2,6,2,1,4,13,2,4,4,9,0
12,1,10,4,6,1,2,1,1,3,8,0
13,2,13,2,1,4,4,1,5,2,11,0
14,3,8,4,12,3,9,4,2,3,2,1
15,1,3,4,7,1,5,2,4,4,13,0
16,1,4,1,1,1,3,3,5,3,2,4
17,3,8,3,12,2,7,2,6,1,2,0
18,4,8,1,11,4,6,3,2,4,12,0
19,3,7,2,7,4,11,1,12,3,1,1
20,1,13,4,8,2,7,2,10,3,13,1
21,2,6,2,8,1,11,1,4,3,7,0
22,3,10,2,10,4,5,1,2,3,8,1
23,2,1,3,13,4,6,1,9,4,1,1
24,2,10,2,8,1,8,3,2,2,13,1
25,2,13,1,5,4,5,4,8,3,3,1
26,3,1,1,5,2,7,3,13,1,1,1
27,1,7,1,5,4,8,1,6,2,6,1
28,3,7,3,9,2,12,2,5,4,4,0
29,2,10,1,1,1,12,4,6,2,8,0
30,3,13,2,7,4,11,3,11,2,11,3
31,4,2,2,7,3,13,2,11,3,10,0
32,1,11,2,7,1,6,4,2,1,1,0
33,3,4,4,3,3,5,2,12,1,9,0
34,3,2,1,6,2,11,4,3,2,10,0
35,4,8,4,3,4,13,4,12,1,1,0
36,2,6,4,8,4,3,2,2,1,2,1
37,4,13,1,6,3,8,1,3,2,3,1
38,2,9,2,10,4,11,4,7,4,3,0
39,2,10,3,12,1,2,2,2,2,13,1
40,2,5,2,12,2,3,1,2,3,3,1
41,2,8,3,2,2,5,1,12,4,8,1
42,2,1,4,7,4,6,4,5,1,5,1
43,3,13,2,1,3,7,1,3,2,6,0
44,4,10,4,13,3,5,2,8,1,10,1
45,1,2,1,11,3,9,1,7,3,5,0
46,2,2,3,1,2,11,2,6,4,4,0
47,1,10,4,1,4,4,4,12,1,9,0
48,4,9,3,13,2,1,3,9,4,12,1
49,4,1,3,1,1,3,4,4,2,11,1
50,1,5,4,4,2,13,3,7,4,10,0
51,1,10,3,7,1,3,3,6,3,8,0
52,4,2,3,4,4,7,3,9,2,1,0
53,4,8,1,9,2,4,1,11,2,3,0
54,2,7,4,13,2,3,3,4,2,1,0
55,4,12,2,3,4,7,2,5,4,1,0
56,2,5,3,13,3,12,3,7,1,13,1
57,4,8,3,2,2,8,2,9,3,11,1
58,1,8,1,12,2,9,2,6,3,2,0
59,1,5,3,13,2,13,2,7,4,5,2
60,4,7,4,10,3,1,3,3,2,5,0
61,3,13,2,2,4,10,3,3,2,13,1
62,1,5,3,7,1,3,1,6,2,8,0
63,1,2,4,3,2,8,4,11,4,13,0
64,2,1,1,4,4,1,4,11,3,7,1
65,1,4,4,1,4,12,2,3,4,13,0
66,1,9,4,1,4,7,4,4,3,2,0
67,4,3,3,1,1,6,1,5,2,10,0
68,2,9,4,2,3,3,2,6,3,9,1
69,3,1,1,5,4,8,3,10,3,5,1
70,4,7,4,5,2,9,3,8,1,5,1
71,4,13,1,11,4,4,3,5,4,1,0
72,4,13,3,8,1,1,4,6,1,13,1
73,4,8,4,4,4,2,4,1,4,7,5
74,2,3,4,10,3,5,3,13,4,3,1
75,1,4,2,13,3,1,4,4,4,1,2
76,3,2,4,10,2,6,1,12,3,10,1
77,2,11,3,9,1,11,4,8,3,8,2
78,2,4,1,4,2,5,1,8,1,13,1
79,2,13,1,9,1,2,1,4,4,4,1
80,4,2,3,10,1,12,3,7,4,8,0
81,2,6,1,13,4,5,2,2,4,9,0
82,1,12,4,5,4,13,3,11,3,10,0
83,2,7,2,3,3,13,3,11,1,4,0
