,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,Class
0,x,x,x,x,o,o,x,o,o,positive
1,x,x,x,x,o,o,o,x,o,positive
2,x,x,x,x,o,o,o,o,x,positive
3,x,x,x,x,o,o,o,b,b,positive
4,x,x,x,x,o,o,b,o,b,positive
5,x,x,x,x,o,o,b,b,o,positive
6,x,x,x,x,o,b,o,o,b,positive
7,x,x,x,x,o,b,o,b,o,positive
8,x,x,x,x,o,b,b,o,o,positive
9,x,x,x,x,b,o,o,o,b,positive
10,x,x,x,x,b,o,o,b,o,positive
11,x,x,x,x,b,o,b,o,o,positive
12,x,x,x,o,x,o,x,o,o,positive
13,x,x,x,o,x,o,o,x,o,positive
14,x,x,x,o,x,o,o,o,x,positive
15,x,x,x,o,x,o,o,b,b,positive
16,x,x,x,o,x,o,b,o,b,positive
17,x,x,x,o,x,o,b,b,o,positive
18,x,x,x,o,x,b,o,o,b,positive
19,x,x,x,o,x,b,o,b,o,positive
20,x,x,x,o,x,b,b,o,o,positive
21,x,x,x,o,o,x,x,o,o,positive
22,x,x,x,o,o,x,o,x,o,positive
23,x,x,x,o,o,x,o,o,x,positive
24,x,x,x,o,o,x,o,b,b,positive
25,x,x,x,o,o,x,b,o,b,positive
26,x,x,x,o,o,x,b,b,o,positive
27,x,x,x,o,o,b,x,o,b,positive
28,x,x,x,o,o,b,x,b,o,positive
29,x,x,x,o,o,b,o,x,b,positive
30,x,x,x,o,o,b,o,b,x,positive
31,x,x,x,o,o,b,b,x,o,positive
32,x,x,x,o,o,b,b,o,x,positive
33,x,x,x,o,o,b,b,b,b,positive
34,x,x,x,o,b,x,o,o,b,positive
35,x,x,x,o,b,x,o,b,o,positive
36,x,x,x,o,b,x,b,o,o,positive
37,x,x,x,o,b,o,x,o,b,positive
38,x,x,x,o,b,o,x,b,o,positive
39,x,x,x,o,b,o,o,x,b,positive
40,x,x,x,o,b,o,o,b,x,positive
