paper_id,paper_title,author_keywords,abstract,session
1,Ensemble Statistical and Heuristic Models for Unsupervised Word Alignment,"statistical word alignment, ensemble learning, heuristic word alignment","Statistical word alignment models need large amount of training data while they are weak in small-size corpora. This paper proposes a new approach of unsupervised hybrid word alignment technique using ensemble learning method. This algorithm uses three base alignment models in several rounds to generate alignments. The ensemble algorithm uses a weighed scheme for resampling training data and a voting score to consider aggregated alignments. The underlying alignment algorithms used in this study include IBM Model 1, 2 and a heuristic method based on Dice measurement. Our experimental results show that by this approach, the alignment error rate could be improved by at least %15 for the base alignment models.",Ensemble Methods
2,Improving Spectral Learning by Using Multiple Representations,"representation, spectral learning, discrete Fourier, basis selection, ensemble","Spectral learning algorithms learn an unknown function by learning a spectral (e.g., Fourier) representation of the function. However, there are many possible spectral representations, none of which will be best in all situations. Consequently, it seems natural to consider how a spectral learner could make use of multiple representations when learning. This paper proposes and compares three approaches to learning from multiple spectral representations. Empirical results suggest that an ensemble approach to multi-spectrum learning, in which spectral models are learned independently in each of a set of candidate representations and then combined in a majority-vote ensemble, works best in practice.",Ensemble Methods
3,Applying Swarm Ensemble Clustering Technique for Fault Prediction Using Software Metrics,"Software defect prediction, Particle swarm optimization, Cluster data, Ensemble clustering","Number of defects remaining in a system provides an insight into the quality of the system. Defect detection systems predict defects by using software metrics and data mining techniques. Clustering analysis is adopted to build the software defect prediction models. Cluster ensembles have emerged as a prominent method for improving robustness, stability and accuracy of clustering solutions. The clustering ensembles combine multiple partitions generated by different clustering algorithms into a single clustering solution. In this paper, the clustering ensemble using Particle Swarm Optimization algorithm (PSO) solution is proposed to improve the predict quality. An empirical study shows that the PSO can be a good choice to build defect prediction software  models.",Ensemble Methods
4,Reducing the Effects of Detrimental Instances,"filtering, label noise, instance weighting","Not all instances in a data set are equally beneficial for inducing a model of the data. Some instances (such as outliers or noise) can be detrimental. However, at least initially, the instances in a data set are generally considered equally in machine learning algorithms. Many current approaches for handling noisy and detrimental instances make a binary decision about whether an instance is detrimental or not. In this paper, we 1) extend this paradigm by weighting the instances on a continuous scale and 2) present a methodology for measuring how detrimental an instance may be for inducing a model of the data. We call our method of identifying and weighting detrimental instances reduced detrimental instance learning (RDIL). We examine RIDL on a set of 54 data sets and 5 learning algorithms and compare RIDL with other weighting and filtering approaches. RDIL is especially useful for learning algorithms where every instance can affect the classification boundary and the training instances are considered individually, such as multilayer perceptrons trained with backpropagation (MLPs). Our results also suggest that a more accurate estimate of which instances are detrimental can have a significant positive impact for handling them.",Ensemble Methods
5,Concept Drift Awareness in Twitter Streams,"Twitter, Adaptation models, Time-frequency analysis, Event detection, Context, Vectors","Learning in non-stationary environments is not an easy task and requires a distinctive approach. The learning model must not only have the ability to continuously learn, but also the ability to change already acquired concepts. Additionally, given the significant importance that social networks gained as information networks, there is an ever-growing interest in the extraction of complex information used for trend detection, promoting services or market sensing. This dynamic nature tends to limit the performance of traditional static learning models and dynamic learning strategies must be put forward. In this paper we present a learning strategy to learn in the presence of concept drift in Twitter. We propose three different models: a time-window model, an ensemble-based model and an incremental model. Since little is known about the types of drift that can occur in Twitter, we simulate different types of drift by artificially timestamping real Twitter messages in order to evaluate and validate our strategy. Results are so far encouraging regarding learning in the presence of drift, along with classifying messages in Twitter streams.",Ensemble Methods
6,High Precision Screening for Android Malware with Dimensionality Reduction,"dimensionality reduction, mobile security, android, principal components analysis","This work presents a new method of classifying previously unseen Android applications as malware or benign. The algorithm starts with a large set of features: the frequencies of all possible n-byte sequences in the application's byte code. Principal components analysis is applied to that frequency matrix in order to reduce it to a low-dimensional representation, which is then fed into any of several classification algorithms. We utilize the implicitly restarted Lanczos bidiagonalization algorithm and exploit the sparsity of the n-gram frequency matrix in order to efficiently compute the low-dimensional representation. When trained upon that low-dimensional representation, several classification algorithms achieve higher accuracy than previous work.",Applications in Security
7,Reducing the Cost of Breaking Audio CAPTCHAs by Active and Semi-Supervised Learning,"active learning, semi-supervised learning, audio CAPTCHA, automatic speech recognition","CAPTCHAs are challenge-response tests that are widely used in the Internet to distinguish human users from machines. In addition to the well-known visual CAPTCHAs, most Internet services also provide an audio-based scheme, e.g., to enable access for visually impaired users. Recent research has shown that most CAPTCHAs are vulnerable as they can be broken by machine learning techniques. However, such automated attacks come at a relatively high cost as they require human experts to create labels for the unlabeled CAPTCHA samples collected from a website in order to train an attacking system.In this work we utilize active and semi-supervised learning methods for breaking audio CAPTCHAs. We show that these methods can reduce the labeling costs considerably, resulting in an increased vulnerability of audio CAPTCHAs as automated attacks are rendered even more worthwhile.In addition, our findings give insight into improvements to the design of CAPTCHAs, helping to harden prospective audio CAPTCHA schemes against active learning attacks in the future.""""""",Applications in Security
8,Q-Learning: From Computer Network Security To Software Security,"Software Architecture, Machine Learning, Q-Learning, Security, Repair",Reinforcement learning techniques become more popular in computer network security. The same reinforcement learning techniques developed for network security can be applied to software security as well. This research summarizes a work in progress attempt to incorporate Q-learning algorithm in software security. The Q-learning method is embedded as part of the software itself to provide a security mechanism that has ability to learn by itself to develop a temporary repair mechanism. The results of the experiment express that given the right parameters and the right setting the Q-learning approach rapidly learns to block all alicious actions. Data analysis on the Q-values produced by the software can provide security diagnostic as well. A larger scale experiment is expected to be seen in the future work.,Applications in Security
9,On-line Signature Verification using Symbolic Aggregate Approximation (SAX) and Sequential Minimal Optimization (SMO),"Signature,Discretize,Unordered,Classification,Training,Bag-of-pattern","Signatures are the single most widely used method of identifying an individual but they carry with them an alarmingly significant amount of vulnerabilities implying a need for an effective and robust method of precisely identifying an individuals signature. The signature of an individual is visually acquired by using pen based tracking system (1), (2). This paper considers the possibility of discretizing visually acquired signatures to represent them as an unordered collection of words and then use Sequential Mining Optimization (SMO) for training Support Vector Machines (SVM) to classify the signature as either legitimate or forged. The discretizing of the signature is done by using Symbolic Aggregate Approximation (SAX) (4). SAX reduces the dimensions of the signature and produces a list of SAX words which are then represented as a bag-of-patterns model for classification purposes (5). The data set consisted of more than 3960 signatures of 106 subjects distributed across two sets. The results obtained provided good classification accuracy and additionally provided an insight into the unique pattern of each subjects signature.",Applications in Security
10,Detection of abnormal human behavior using a matrix approximation-based approach,"abnormal event detection, low-rank approximation, adaptive learning","Automatic detection of abnormal events is one of central tasks in video surveillance. In this paper we present a matrix approximation-based method to detect abnormal human behavior. In our model, a behavior pattern is represented by a motion matrix obtained through object tracking. We model typical motions associated with normal behaviors with a set of motion subspaces, computed through low-rank matrix approximation. Then, abnormal human behaviors are identified by the motion deviations from the representative subspaces. Our method does not require a complicated classification procedure, and can fast detect abnormal events in complex scenes. In addition, through the adaptive learning module, our model is built on the observed data, and can be expanded by incorporating new behavior patterns during the detection process. The results on simulated surveillance videos show the effectiveness of our method.",Applications in Security
