Title,Keywords,Topics,High-Level Keyword(s),Abstract
The cascade auction – a mechanism for deterring collusion in auctions,"Mediators
Auctions
Collusion
Ad Exchanges","Auctions and Market-Based Systems
E-Commerce
Game Theory
Mechanism Design",Multiagent Systems,"We introduce a sealed bid auction of a single item in which
the winner is chosen at random among the highest k bidders
according to a fixed probability distribution, and the price for
the chosen winner is the Vickrey-Clarke-Groves price. We
call such an auction a cascade auction. Our analysis suggests
that this type of auction may give higher revenues compared
to second price auction in cases of collusion."
Basis Adaptation for Sparse Nonlinear Reinforcement Learning,"Reinforcement learning
Sparsity
Mirror descent
Online learning
Markov decision processes","Dimension Reduction/Feature Selection
Online Learning
Reinforcement Learning
Sequential Decision Making","Machine Learning
Reasoning under Uncertainty","This paper presents a new approach to basis adaptation in reinforcement learning (RL) using the recently proposed {\em mirror-descent} framework.  Mirror descent can be viewed as an enhanced gradient method, particularly suited to minimization of convex functions in high-dimensional spaces. Unlike traditional gradient methods, mirror descent undertakes gradient updates of weights in both the dual space and primal space, which are linked together using a Legendre transform. Mirror descent can be viewed as a proximal algorithm where the distance generating function used is a Bregman divergence.  We introduce a general framework for nonlinear separable value function approximation based on finding Frechet gradients of an error function based on variable projection functionals. We then show how to combine basis adaptation methods with  proximal-gradient based temporal-difference (TD) methods and present a new class of regularized TD methods, which combine feature selection through sparse $L_1$ regularization and basis adaptation. Experimental results are provided to illustrate and validate the approach."
Optimal Coalition Structures in Cooperative Graph Games,"Cooperative Game Theory
Coalition Structure Generation
Optimal Coalition Structure
Deng and Papadimitriou's Cooperative Graph Game
Planar Graphs
Minor Free Graphs","Coordination and Collaboration
Game Theory",Multiagent Systems,"Representation  languages for coalitional games are a key research area in algorithmic game theory. There is an inherent tradeoff between how general a language is, allowing it to capture more elaborate games, and how hard it is computationally to optimize and solve such games. One prominent such language is the simple yet expressive Weighted Graph Games (WGGs) representation (Deng and Papadimitriou, 1994), which maintains knowledge about synergies between agents in the form of an edge weighted graph.

We consider the problem of finding the optimal coalition structure in WGGs. The agents in such games are vertices in a graph, and the value of a coalition is the sum of the weights of the edges present between coalition members. The optimal coalition structure is a partition of the agents to coalitions, that maximizes the sum of utilities obtained by the coalitions. We show that finding the optimal coalition structure is not only hard for general graphs, but is also intractable for restricted families such as planar graphs which are amenable for many other combinatorial problems. We then provide algorithms with constant factor approximations for planar, minor-free and bounded degree graphs."
External Memory Best-First Search for Multiple Sequence Alignment,"External-Memory Search
Parallel Search
Multiple Sequence Alignment
Dynamic Programming","Heuristic Search
Evaluation and Analysis (Search and Optimization)
Search (General/Other)",Heuristic Search and Optimization,"Multiple sequence alignment (MSA) is a central problem in computational biology.  It is well known that MSA can be formulated as a shortest path problem and solved using heuristic search, but the memory requirement of A* makes it impractical for all but the smallest problems.  Partial Expansion A* (PEA*) reduces the space complexity of A* by generating only the most promising successor nodes.  However, even PEA* exhausts available memory on many problems.  Another alternative is Iterative Deepening Dynamic Programming, which uses an uninformed search order but stores only the nodes along the search frontier.  However, it too cannot scale to the largest problems.  In this paper, we propose storing nodes on cheap and plentiful secondary storage.  We present a new general-purpose algorithm, Parallel External PEA* (PE2A*), that combines PEA* with Delayed Duplicate Detection to take advantage of external memory and multiple processors to solve large MSA problems.  In our experiments, PE2A* is the first algorithm capable of solving the entire Reference Set 1 of the standard BaliBASE benchmark using a biologically accurate cost function.  This work suggests that external best-first search can effectively use heuristic information to surpass methods that rely on predefined search orders."
Posted Prices Exchange for Display Advertising Contracts,"Display Advertising
Dynamic Pricing
Market Equilibrium","Auctions and Market-Based Systems
E-Commerce
Mechanism Design",Multiagent Systems,"We propose a new market design for display advertising contracts, based on posted prices. This requires overcoming major challenges: (i) the space of possible impression types is exponential in the number of attributes, which is typically large; therefore a complete price space cannot be maintained; (ii) the level of detail with which supply and demand are specified are often not identical, (iii) advertisers are usually unable to provide extensive demand (willingness-to-pay) functions."
Gradient Networks for Shape-Based Object Instance Detection,"object detection
instance detection
shape
gradient networks","Vision, Object Recognition, and Perception",Robotics,"We present a novel framework for shape-based template matching in images.  While previous approaches required brittle contour extraction, considered only local information, or used coarse statistics, we propose to match the shape explicitly on low-level gradients by formulating the problem as traversing paths in a gradient network.  We evaluate our algorithm on a challenging dataset of objects in cluttered environments and demonstrate significant improvement over state-of-the-art methods for shape matching and object detection."
Unified Constraint Propagation on Multi-View Data,"pairwise constraint propagation
semi-supervised learning
multi-view data","Relational/Graph-Based Learning
Semisupervised Learning",Machine Learning,"This paper presents a unified framework for intra-view and inter-view constraint propagation on multi-view data from a semi-supervised learning viewpoint. In the literature, pairwise constraint propagation has been studied extensively, where each pairwise constraint is defined over a pair of data points from a single view. In contrast, very little attention has been paid to inter-view constraint propagation, which is more challenging since each pairwise constraint is now defined over a pair of data points from different views. Although both intra-view and inter-view constraint propagation are crucial for multi-view tasks, most previous methods cannot handle them simultaneously. To address this challenging issue, we propose to decompose these two types of constraint propagation into semi-supervised learning subproblems so that they can be uniformly solved based on the traditional label propagation techniques. To further integrate them into a unified framework, we utilize the results of intra-view constraint propagation to adjust the similarity matrix of each view and then perform inter-view constraint propagation with the adjusted similarity matrices. The experimental results in cross-view retrieval have demonstrated the superior performance of our unified constraint propagation."
Progression of Decomposed Situation Calculus Theories,"reasoning about actions
decomposition of logical theories
situation calculus
basic action theory
progression
forgetting
decomposability
inseparability","Action, Change, and Causality",Knowledge Representation and Reasoning,"In many tasks related to reasoning about consequences of a logical theory, it is desirable to decompose the theory into a number of components with weakly-related or independent signatures. This facilitates reasoning when signature of a query formula belongs to only one of the components. However, a theory may be subject to change due to execution of actions affecting features mentioned in the theory. Having once computed a decomposition of a theory, one would like to know whether a decomposition has to be computed again in the theory obtained from taking into account all changes resulting from execution of an action. In the paper, we address this problem in the scope of the situation calculus, where change of an initial theory is related to the well-studied notion of progression. Progression provides a form of forward reasoning; it relies on forgetting values of those features which are subject to change and computing new values for them. We prove new results about properties of decomposition components under forgetting and show when a decomposition can be preserved in progression of an initial situation calculus theory."
How to Cut a Cake Before the Party Ends,"Cake cutting
Fair division
Computational social choice","Mechanism Design
Social Choice / Voting",Multiagent Systems,"For decades researchers have struggled with the problem of envy-free cake cutting: how to divide a divisible good between multiple agents so that each agent likes his own allocation best. Although an envy-free cake cutting protocol was ultimately devised, it is unbounded, in the sense that the number of operations can be arbitrarily large, depending on the preferences of the agents. We ask whether bounded protocols exist when the agents' preferences are restricted. Our main result is an envy-free cake cutting protocol for agents with piecewise linear valuations, which requires a number of operations that is polynomial in natural parameters of the given instance."
Reciprocal Hash Tables for Nearest Neighbor Search,"locality sensitive hashing
nearest neighbor search
hash table construction
reciprocal hash tables","Search (General/Other)
Information Retrieval
Machine Learning (General/other)","Heuristic Search and Optimization
Knowledge-Based Systems
Machine Learning","Recent years have witnessed the success of hashing techniques in approximate nearest neighbor search. In practice, multiple hash tables are usually employed to retrieve more desired results from all hit buckets of each table. However, there are rare works studying the unified approach to constructing multiple informative hash tables except the widely used random way. In this paper, we regard the table construction as a selection problem over a set of candidate hash functions. With the graph representation of the function set, we propose an efficient solution that sequentially applies normalized dominant set to finding the most informative and independent hash functions for each table. To further reduce the redundancy between tables, we explore the reciprocal hash tables in a boosting manner, where the hash function graph is updated with high weights emphasized on the misclassified neighbor pairs of previous hash tables. The construction method is general and compatible with different types of hashing algorithms using different feature spaces and/or parameter settings. Extensive experiments on two large-scale benchmarks demonstrate that the proposed method outperforms both naive construction method and state-of-the-art hashing algorithms, with up to 65.93% accuracy gains."
