,location,date,b3001,b3002,b3003,b3004,b3005,b3006,b3007,b3008,b3009,b3010,b3011,b3012,b3013
0,O02,10-18-2016 11:15:21,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
1,P01,10-18-2016 11:15:19,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200
2,P01,10-18-2016 11:15:17,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
3,P01,10-18-2016 11:15:15,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
4,P01,10-18-2016 11:15:13,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
5,P01,10-18-2016 11:15:11,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
6,P01,10-18-2016 11:15:09,-200,-200,-80,-200,-200,-77,-200,-200,-200,-200,-200,-200,-200
7,P02,10-18-2016 11:15:07,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
8,R01,10-18-2016 11:15:05,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
9,R01,10-18-2016 11:15:03,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200
10,R01,10-18-2016 11:15:01,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200
11,R01,10-18-2016 11:14:59,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
12,R01,10-18-2016 11:14:57,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
13,R02,10-18-2016 11:14:55,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
14,R02,10-18-2016 11:14:53,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
15,R02,10-18-2016 11:14:51,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
16,R02,10-18-2016 11:14:49,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200
17,R02,10-18-2016 11:14:47,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200
18,R02,10-18-2016 11:14:45,-200,-200,-200,-72,-200,-200,-200,-200,-200,-200,-200,-200,-200
19,R02,10-18-2016 11:14:43,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200
