,Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0,10-03-2004,18:00:00,2.6,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578
1,10-03-2004,19:00:00,2.0,1292,112,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255
2,10-03-2004,20:00:00,2.2,1402,88,9.0,939,131,1140,114,1555,1074,11.9,54.0,0.7502
3,10-03-2004,21:00:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,11.0,60.0,0.7867
4,10-03-2004,22:00:00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888
5,10-03-2004,23:00:00,1.2,1197,38,4.7,750,89,1337,96,1393,949,11.2,59.2,0.7848
6,11-03-2004,00:00:00,1.2,1185,31,3.6,690,62,1462,77,1333,733,11.3,56.8,0.7603
7,11-03-2004,01:00:00,1.0,1136,31,3.3,672,62,1453,76,1333,730,10.7,60.0,0.7702
8,11-03-2004,02:00:00,0.9,1094,24,2.3,609,45,1579,60,1276,620,10.7,59.7,0.7648
9,11-03-2004,03:00:00,0.6,1010,19,1.7,561,-200,1705,-200,1235,501,10.3,60.2,0.7517
10,11-03-2004,04:00:00,-200.0,1011,14,1.3,527,21,1818,34,1197,445,10.1,60.5,0.7465
11,11-03-2004,05:00:00,0.7,1066,8,1.1,512,16,1918,28,1182,422,11.0,56.2,0.7366
12,11-03-2004,06:00:00,0.7,1052,16,1.6,553,34,1738,48,1221,472,10.5,58.1,0.7353
13,11-03-2004,07:00:00,1.1,1144,29,3.2,667,98,1490,82,1339,730,10.2,59.6,0.7417
14,11-03-2004,08:00:00,2.0,1333,64,8.0,900,174,1136,112,1517,1102,10.8,57.4,0.7408
15,11-03-2004,09:00:00,2.2,1351,87,9.5,960,129,1079,101,1583,1028,10.5,60.6,0.7691
16,11-03-2004,10:00:00,1.7,1233,77,6.3,827,112,1218,98,1446,860,10.8,58.4,0.7552
17,11-03-2004,11:00:00,1.5,1179,43,5.0,762,95,1328,92,1362,671,10.5,57.9,0.7352
18,11-03-2004,12:00:00,1.6,1236,61,5.2,774,104,1301,95,1401,664,9.5,66.8,0.7951
19,11-03-2004,13:00:00,1.9,1286,63,7.3,869,146,1162,112,1537,799,8.3,76.4,0.8393
20,11-03-2004,14:00:00,2.9,1371,164,11.5,1034,207,983,128,1730,1037,8.0,81.1,0.8736
21,11-03-2004,15:00:00,2.2,1310,79,8.8,933,184,1082,126,1647,946,8.3,79.8,0.8778
22,11-03-2004,16:00:00,2.2,1292,95,8.3,912,193,1103,131,1591,957,9.7,71.2,0.8569
23,11-03-2004,17:00:00,2.9,1383,150,11.2,1020,243,1008,135,1719,1104,9.8,67.6,0.8185
24,11-03-2004,18:00:00,4.8,1581,307,20.8,1319,281,799,151,2083,1409,10.3,64.2,0.8065
25,11-03-2004,19:00:00,6.9,1776,461,27.4,1488,383,702,172,2333,1704,9.7,69.3,0.8319
26,11-03-2004,20:00:00,6.1,1640,401,24.0,1404,351,743,165,2191,1654,9.6,67.8,0.8133
27,11-03-2004,21:00:00,3.9,1313,197,12.8,1076,240,957,136,1707,1285,9.1,64.0,0.7419
28,11-03-2004,22:00:00,1.5,965,61,4.7,749,94,1325,85,1333,821,8.2,63.4,0.6905
29,11-03-2004,23:00:00,1.0,913,26,2.6,629,47,1565,53,1252,552,8.2,60.8,0.6657
30,12-03-2004,00:00:00,1.7,1080,55,5.9,805,122,1254,97,1375,816,8.3,58.5,0.6438
31,12-03-2004,01:00:00,1.9,1044,53,6.4,829,133,1247,110,1378,832,7.7,59.7,0.6308
32,12-03-2004,02:00:00,1.4,988,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276
33,12-03-2004,03:00:00,0.8,889,21,1.9,574,-200,1680,-200,1187,512,7.0,62.3,0.6261
34,12-03-2004,04:00:00,-200.0,831,10,1.1,506,21,1893,32,1134,384,6.1,65.9,0.6248
35,12-03-2004,05:00:00,0.6,847,7,1.0,501,30,1895,44,1155,394,6.3,65.0,0.6233
36,12-03-2004,06:00:00,0.8,927,17,1.8,571,56,1685,71,1223,487,6.8,62.9,0.6234
37,12-03-2004,07:00:00,1.4,1091,33,4.4,730,109,1387,104,1361,748,6.4,65.1,0.6316
38,12-03-2004,08:00:00,4.4,1587,202,17.9,1236,307,897,141,1900,1400,7.3,63.1,0.6499
39,12-03-2004,09:00:00,-200.0,1545,-200,22.1,1353,-200,767,-200,2058,1588,9.2,56.2,0.6561
40,12-03-2004,10:00:00,3.1,1350,208,14.0,1118,187,912,122,1712,1237,13.2,41.7,0.632
41,12-03-2004,11:00:00,2.7,1263,166,11.6,1037,216,969,143,1598,1167,14.3,38.4,0.6243
42,12-03-2004,12:00:00,2.1,1206,114,10.2,986,143,1035,113,1537,959,15.0,36.5,0.6195
43,12-03-2004,13:00:00,2.5,1252,140,11.0,1016,160,1008,116,1593,983,16.1,34.5,0.6262
44,12-03-2004,14:00:00,2.7,1287,169,12.8,1078,163,949,123,1660,1061,16.3,35.7,0.6559999999999999
45,12-03-2004,15:00:00,2.9,1353,185,14.2,1122,190,922,126,1740,1139,15.8,37.0,0.6609999999999999
46,12-03-2004,16:00:00,2.8,1309,165,12.7,1073,178,954,120,1657,1112,15.9,37.2,0.6657
47,12-03-2004,17:00:00,2.4,1274,133,11.7,1041,150,1006,119,1610,994,16.9,34.3,0.6549
48,12-03-2004,18:00:00,3.9,1510,233,19.3,1277,206,812,149,1910,1410,15.1,39.6,0.6766
49,12-03-2004,19:00:00,3.7,1525,242,18.2,1246,202,821,145,1847,1448,14.4,43.4,0.7084
50,12-03-2004,20:00:00,6.6,1843,488,32.6,1610,340,624,170,2390,1887,12.9,50.5,0.7478
51,12-03-2004,21:00:00,4.4,1598,333,20.1,1299,274,752,149,1941,1627,12.1,53.3,0.7536
52,12-03-2004,22:00:00,3.5,1484,215,14.3,1127,253,839,139,1723,1491,11.0,59.1,0.774
53,12-03-2004,23:00:00,5.4,1677,367,21.8,1346,300,741,134,2062,1657,9.7,64.6,0.7771
54,13-03-2004,00:00:00,2.7,1280,122,9.6,964,193,963,113,1544,1285,9.5,64.1,0.7597
55,13-03-2004,01:00:00,1.9,1196,67,7.4,873,139,1071,97,1463,1144,9.1,63.9,0.7423
56,13-03-2004,02:00:00,1.6,1184,43,5.4,782,83,1176,82,1365,1043,8.8,63.9,0.7256
57,13-03-2004,03:00:00,1.7,1172,46,5.4,783,-200,1179,-200,1380,996,7.8,67.5,0.7173
58,13-03-2004,04:00:00,-200.0,1147,56,6.2,821,109,1132,83,1412,992,7.0,71.1,0.7158
59,13-03-2004,05:00:00,1.0,978,30,2.6,625,62,1420,65,1274,819,8.3,63.6,0.6982
60,13-03-2004,06:00:00,1.2,1100,27,2.9,646,53,1406,60,1268,835,7.2,67.5,0.6887
61,13-03-2004,07:00:00,1.5,1112,47,5.1,770,139,1228,77,1409,940,6.3,71.9,0.6932
62,13-03-2004,08:00:00,2.7,1336,132,11.8,1043,256,935,96,1678,1192,6.5,71.6,0.6945
63,13-03-2004,09:00:00,3.7,1408,239,15.1,1153,295,830,119,1777,1411,9.6,59.7,0.7124
64,13-03-2004,10:00:00,3.2,1447,160,12.9,1081,250,869,126,1667,1465,12.4,51.2,0.7335
65,13-03-2004,11:00:00,4.1,1542,283,16.1,1184,296,808,158,1780,1583,15.6,42.2,0.7451
66,13-03-2004,12:00:00,3.6,1451,210,14.0,1117,239,875,161,1679,1387,18.4,33.8,0.7090000000000001
67,13-03-2004,13:00:00,2.8,1328,154,12.3,1059,153,987,124,1600,1101,19.4,31.3,0.695
68,13-03-2004,14:00:00,2.0,1207,112,8.6,924,118,1088,102,1488,850,18.0,34.8,0.7127
69,13-03-2004,15:00:00,2.0,1240,108,9.2,947,119,1049,116,1532,947,18.4,33.6,0.7042
70,13-03-2004,16:00:00,2.5,1306,111,10.2,987,138,1004,124,1554,1078,17.6,35.1,0.7012
71,13-03-2004,17:00:00,2.3,1326,97,10.6,1000,148,976,125,1602,1084,16.7,37.8,0.7117
72,13-03-2004,18:00:00,3.2,1473,191,15.5,1163,227,831,148,1779,1395,16.1,41.0,0.7451
73,13-03-2004,19:00:00,4.2,1609,258,19.6,1286,277,758,165,1922,1612,15.8,42.4,0.7569
74,13-03-2004,20:00:00,4.2,1611,284,19.2,1274,279,754,161,1915,1697,15.7,44.1,0.7786
75,13-03-2004,21:00:00,4.2,1621,269,18.3,1247,283,762,159,1860,1886,15.3,46.8,0.8091
76,13-03-2004,22:00:00,3.1,1444,180,13.1,1089,214,844,143,1748,1624,14.6,48.6,0.8059999999999999
77,13-03-2004,23:00:00,2.6,1418,116,10.9,1010,172,892,130,1603,1536,14.7,49.3,0.8193
78,14-03-2004,00:00:00,2.9,1534,93,11.0,1013,190,889,129,1611,1535,13.9,53.6,0.8498
79,14-03-2004,01:00:00,2.8,1484,131,11.9,1045,174,880,119,1624,1530,14.6,51.5,0.8536
80,14-03-2004,02:00:00,2.5,1367,92,8.6,925,128,953,104,1543,1337,12.5,58.9,0.8537
81,14-03-2004,03:00:00,2.4,1344,132,9.7,968,-200,921,-200,1620,1278,11.6,63.4,0.8674
82,14-03-2004,04:00:00,-200.0,1130,56,5.2,773,70,1130,82,1452,1051,12.1,61.1,0.8603
83,14-03-2004,05:00:00,1.2,1062,32,3.7,691,53,1272,70,1377,929,11.5,63.1,0.8533
84,14-03-2004,06:00:00,1.0,1076,29,2.5,618,44,1395,63,1333,872,11.6,62.2,0.8473
85,14-03-2004,07:00:00,0.9,1028,27,2.4,615,74,1384,67,1340,853,10.4,67.6,0.853
86,14-03-2004,08:00:00,1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853
87,14-03-2004,09:00:00,1.6,1235,57,6.4,828,118,1055,83,1527,1093,12.4,60.0,0.8627
88,14-03-2004,10:00:00,2.2,1332,129,8.6,923,144,952,98,1614,1225,14.5,53.1,0.8728
89,14-03-2004,11:00:00,2.8,1445,148,10.9,1009,176,878,114,1696,1355,16.9,46.1,0.8789
90,14-03-2004,12:00:00,2.8,1416,145,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.8474
91,14-03-2004,13:00:00,2.0,1281,93,7.5,880,113,1084,104,1525,980,21.2,31.4,0.7812
92,14-03-2004,14:00:00,1.8,1207,84,7.5,879,103,1104,102,1490,872,21.4,30.2,0.7616
93,14-03-2004,15:00:00,1.9,1258,99,8.2,906,112,1081,107,1511,900,21.9,29.0,0.7525
94,14-03-2004,16:00:00,3.0,1458,150,11.9,1045,170,974,129,1646,1099,22.2,28.4,0.7516
95,14-03-2004,17:00:00,2.9,1438,156,12.0,1051,180,943,128,1668,1206,21.3,30.8,0.7696
96,14-03-2004,18:00:00,2.5,1478,122,12.2,1055,160,929,121,1671,1262,19.7,36.7,0.8307
97,14-03-2004,19:00:00,4.6,1808,262,20.6,1312,261,753,157,1993,1698,18.4,41.7,0.8732
