,No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
0,1,2010,1,1,0,,-21,-11.0,1021.0,NW,1.79,0,0
1,2,2010,1,1,1,,-21,-12.0,1020.0,NW,4.92,0,0
2,3,2010,1,1,2,,-21,-11.0,1019.0,NW,6.71,0,0
3,4,2010,1,1,3,,-21,-14.0,1019.0,NW,9.84,0,0
4,5,2010,1,1,4,,-20,-12.0,1018.0,NW,12.97,0,0
5,6,2010,1,1,5,,-19,-10.0,1017.0,NW,16.1,0,0
6,7,2010,1,1,6,,-19,-9.0,1017.0,NW,19.23,0,0
7,8,2010,1,1,7,,-19,-9.0,1017.0,NW,21.02,0,0
8,9,2010,1,1,8,,-19,-9.0,1017.0,NW,24.15,0,0
9,10,2010,1,1,9,,-20,-8.0,1017.0,NW,27.28,0,0
10,11,2010,1,1,10,,-19,-7.0,1017.0,NW,31.3,0,0
11,12,2010,1,1,11,,-18,-5.0,1017.0,NW,34.43,0,0
12,13,2010,1,1,12,,-19,-5.0,1015.0,NW,37.56,0,0
13,14,2010,1,1,13,,-18,-3.0,1015.0,NW,40.69,0,0
14,15,2010,1,1,14,,-18,-2.0,1014.0,NW,43.82,0,0
15,16,2010,1,1,15,,-18,-1.0,1014.0,cv,0.89,0,0
16,17,2010,1,1,16,,-19,-2.0,1015.0,NW,1.79,0,0
17,18,2010,1,1,17,,-18,-3.0,1015.0,NW,2.68,0,0
18,19,2010,1,1,18,,-18,-5.0,1016.0,NE,1.79,0,0
19,20,2010,1,1,19,,-17,-4.0,1017.0,NW,1.79,0,0
20,21,2010,1,1,20,,-17,-5.0,1017.0,cv,0.89,0,0
21,22,2010,1,1,21,,-17,-5.0,1018.0,NW,1.79,0,0
22,23,2010,1,1,22,,-17,-5.0,1018.0,NW,2.68,0,0
23,24,2010,1,1,23,,-17,-5.0,1020.0,cv,0.89,0,0
24,25,2010,1,2,0,129.0,-16,-4.0,1020.0,SE,1.79,0,0
25,26,2010,1,2,1,148.0,-15,-4.0,1020.0,SE,2.68,0,0
26,27,2010,1,2,2,159.0,-11,-5.0,1021.0,SE,3.57,0,0
27,28,2010,1,2,3,181.0,-7,-5.0,1022.0,SE,5.36,1,0
28,29,2010,1,2,4,138.0,-7,-5.0,1022.0,SE,6.25,2,0
29,30,2010,1,2,5,109.0,-7,-6.0,1022.0,SE,7.14,3,0
30,31,2010,1,2,6,105.0,-7,-6.0,1023.0,SE,8.93,4,0
31,32,2010,1,2,7,124.0,-7,-5.0,1024.0,SE,10.72,0,0
32,33,2010,1,2,8,120.0,-8,-6.0,1024.0,SE,12.51,0,0
33,34,2010,1,2,9,132.0,-7,-5.0,1025.0,SE,14.3,0,0
34,35,2010,1,2,10,140.0,-7,-5.0,1026.0,SE,17.43,1,0
35,36,2010,1,2,11,152.0,-8,-5.0,1026.0,SE,20.56,0,0
36,37,2010,1,2,12,148.0,-8,-5.0,1026.0,SE,23.69,0,0
37,38,2010,1,2,13,164.0,-8,-5.0,1025.0,SE,27.71,0,0
38,39,2010,1,2,14,158.0,-9,-5.0,1025.0,SE,31.73,0,0
39,40,2010,1,2,15,154.0,-9,-5.0,1025.0,SE,35.75,0,0
40,41,2010,1,2,16,159.0,-9,-5.0,1026.0,SE,37.54,0,0
41,42,2010,1,2,17,164.0,-8,-5.0,1027.0,SE,39.33,0,0
42,43,2010,1,2,18,170.0,-8,-5.0,1027.0,SE,42.46,0,0
43,44,2010,1,2,19,149.0,-8,-5.0,1028.0,SE,44.25,0,0
44,45,2010,1,2,20,154.0,-7,-5.0,1028.0,SE,46.04,0,0
45,46,2010,1,2,21,164.0,-7,-5.0,1027.0,SE,49.17,1,0
