,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1,01-01-2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
1,2,01-01-2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
2,3,01-01-2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
3,4,01-01-2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
4,5,01-01-2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
5,6,01-01-2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
6,7,01-01-2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
7,8,01-01-2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
8,9,01-01-2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
9,10,01-01-2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
10,11,01-01-2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
11,12,01-01-2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
12,13,01-01-2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
13,14,01-01-2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
14,15,01-01-2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
15,16,01-01-2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
16,17,01-01-2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
17,18,01-01-2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
18,19,01-01-2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
19,20,01-01-2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
20,21,01-01-2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
21,22,01-01-2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,3,31,34
22,23,01-01-2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
23,24,01-01-2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
24,25,02-01-2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
25,26,02-01-2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
26,27,02-01-2011,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9
27,28,02-01-2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,4,6
28,29,02-01-2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,2,1,3
29,30,02-01-2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2
30,31,02-01-2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,0,1,1
31,32,02-01-2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8
32,33,02-01-2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20
33,34,02-01-2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53
34,35,02-01-2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70
35,36,02-01-2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93
36,37,02-01-2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75
37,38,02-01-2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,4,55,59
38,39,02-01-2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74
39,40,02-01-2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76
40,41,02-01-2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,7,58,65
41,42,02-01-2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53
42,43,02-01-2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30
43,44,02-01-2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22
44,45,02-01-2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31
