,nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
0,0.0,5182.0,199.0,218.0,210.0,215.0,609.0,935.0,736.0,256.0,?,?,?,?,?,?,?,?,?,?,?,?,840.0,1539.0,1.0,573,3315,2880,300,696,431,1965,515,256,?,?,?,?,?,?,?,?,?,?,?,?,2760,1280,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10121.0,9919.0,7559.0,240.0,2865.0,256.0,1330.0,1265.0,411.0,?,?,?,?,?,?,?,?,?,?,?,?,780.0,434.0,1.0,2.0
1,1.0,6523.0,844.0,584.0,90.0,297.0,700.0,1935.0,1415.0,431.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,5790.0,1.0,13946,2964,2888,180,239,257,970,756,149,160,331,149,1080,1142,431,?,?,?,?,?,?,7020,6628,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,626.0,3030.0,3016.0,300.0,286.0,431.0,835.0,526.0,256.0,?,?,?,?,?,?,?,?,?,?,?,?,3870.0,445.0,1.0,2.0
2,2.0,5878.0,4380.0,4119.0,90.0,280.0,456.0,905.0,547.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,321.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12691.0,1433.0,642.0,240.0,969.0,700.0,1200.0,1280.0,349.0,?,?,?,?,?,?,?,?,?,?,?,?,550.0,1520.0,1.0,1.0
3,3.0,1275.0,759.0,169.0,240.0,777.0,173.0,340.0,577.0,349.0,1340,1109,349,1240,820,671,?,?,?,?,?,?,335.0,535.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12932.0,3963.0,3176.0,90.0,883.0,671.0,815.0,956.0,700.0,?,?,?,?,?,?,?,?,?,?,?,?,3780.0,159.0,1.0,1.0
4,4.0,8117.0,1597.0,1485.0,150.0,241.0,411.0,585.0,612.0,128.0,340,289,128,130,135,166,?,?,?,?,?,?,4230.0,1255.0,2.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12805.0,152.0,179.0,180.0,131.0,166.0,230.0,167.0,128.0,810,872,128,740,346,411,?,?,?,?,?,?,4140.0,4797.0,2.0,1.0
5,5.0,9889.0,181.0,98.0,240.0,259.0,815.0,215.0,223.0,128.0,?,?,?,?,?,?,?,?,?,?,?,?,4890.0,115.0,1.0,9915,59,59,525,1934,128,3615,2270,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,21025,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6430.0,136.0,29.0,240.0,308.0,128.0,960.0,682.0,597.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,467.0,1.0,2.0
6,6.0,3997.0,1300.0,212.0,240.0,1267.0,815.0,270.0,135.0,391.0,?,?,?,?,?,?,?,?,?,?,?,?,5070.0,2161.0,1.0,9805,252,33,240,399,815,275,164,391,?,?,?,?,?,?,?,?,?,?,?,?,5070,727,1,571,250,153,150,181,610,525,181,281,415,764,281,80,108,391,?,?,?,?,?,?,2880,1258,2,2544.0,329.0,81.0,570.0,763.0,391.0,80.0,79.0,281.0,?,?,?,?,?,?,?,?,?,?,?,?,2880.0,151.0,1.0,3.0
7,7.0,7125.0,139.0,87.0,240.0,232.0,783.0,255.0,154.0,815.0,460,563,815,215,182,128,?,?,?,?,?,?,4890.0,374.0,2.0,10590,303,110,240,371,815,215,143,128,?,?,?,?,?,?,?,?,?,?,?,?,4890,919,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6753.0,119.0,19.0,240.0,298.0,128.0,960.0,678.0,597.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,161.0,1.0,2.0
8,8.0,10481.0,387.0,68.0,240.0,514.0,815.0,285.0,219.0,485.0,?,?,?,?,?,?,?,?,?,?,?,?,5160.0,1170.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5570.0,933.0,1074.0,180.0,677.0,485.0,885.0,695.0,149.0,?,?,?,?,?,?,?,?,?,?,?,?,6680.0,2830.0,1.0,1.0
9,9.0,3212.0,6145.0,6013.0,300.0,385.0,690.0,810.0,635.0,555.0,?,?,?,?,?,?,?,?,?,?,?,?,1560.0,672.0,1.0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13468.0,495.0,336.0,300.0,481.0,555.0,820.0,625.0,356.0,?,?,?,?,?,?,?,?,?,?,?,?,3960.0,218.0,1.0,1.0
