,"Week of the month (first week, second, third, fourth or fifth week",Day of the week (Monday to Friday),Non-urgent order,Urgent order,Order type A,Order type B,Order type C,Fiscal sector orders,Orders from the traffic controller sector,Banking orders (1),Banking orders (2),Banking orders (3),Target (Total orders)
0,1,4,316.307,223.27,61.543,175.58599999999998,302.448,0.0,65556,44914,188411,14793,539.577
1,1,5,128.63299999999998,96.042,38.058,56.037,130.58,0.0,40419,21399,89461,7679,224.675
2,1,6,43.651,84.375,21.826,25.125,82.461,1.386,11992,3452,21305,14947,129.412
3,2,2,171.297,127.667,41.542,113.294,162.284,18.156,49971,33703,69054,18423,317.12
4,2,3,90.53200000000001,113.52600000000001,37.679,56.618,116.22,6.459,48534,19646,16411,20257,210.517
5,2,4,110.925,96.36,30.791999999999998,50.70399999999999,125.868,79.0,52042,8773,47522,24966,207.364
6,2,5,144.124,118.919,43.303999999999995,66.37100000000001,153.368,0.0,46573,33597,48269,20973,263.043
7,2,6,119.37899999999999,113.87,38.584,85.961,124.413,15.709000000000001,35033,26278,56665,18502,248.958
8,3,2,218.856,124.381,33.973,148.274,162.04399999999998,1.054,66612,19461,103376,10458,344.291
9,3,3,146.518,101.045,36.399,43.306000000000004,168.72299999999998,865.0,58224,7742,82395,11948,248.428
10,3,4,178.433,102.79299999999999,45.706,111.036,124.678,194.0,47046,17299,108719,15560,281.42
11,3,5,145.865,91.18,43.851000000000006,66.277,133.44,6.523,66910,17768,36693,29046,243.56799999999998
12,3,6,170.56599999999997,114.412,43.339,136.434,128.405,23.2,32529,34002,78153,31949,308.178
13,4,2,220.343,141.406,46.24100000000001,120.865,196.296,1.653,34878,32905,117137,29188,363.402
14,4,3,193.768,141.85399999999998,56.519,136.709,143.644,1.25,57858,23956,101048,30134,336.87199999999996
15,4,4,122.736,124.256,56.167,78.101,112.72399999999999,0.0,52321,10046,62799,24233,246.99200000000002
16,4,5,144.05100000000002,158.408,51.66,92.272,164.94799999999998,6.421,47167,6440,91784,15973,308.88
17,4,6,105.415,108.68799999999999,47.717,71.47399999999999,113.935,19.023,42737,26020,27873,17600,233.12599999999998
18,5,2,240.66,163.72,59.135,157.681,187.56400000000002,0.0,39273,32917,155617,9203,404.38
19,1,3,131.067,166.649,90.476,80.509,127.575,844.0,60543,19141,78378,73839,298.56
20,1,4,130.129,98.927,42.903999999999996,43.961999999999996,142.38299999999998,193.0,54760,9163,29874,46992,229.24900000000002
21,1,5,123.286,103.551,47.331,72.444,116.529,9.467,48732,21196,47793,47574,236.304
22,1,6,190.81599999999997,87.62899999999999,32.077,127.35799999999999,137.739,18.729,46368,36798,92701,31098,297.17400000000004
23,2,2,266.741,141.437,58.721000000000004,139.034,211.646,1.2229999999999999,58081,43333,135314,29716,409.401
24,2,3,123.14299999999999,106.083,36.016999999999996,75.813,119.205,1.8090000000000002,45340,22109,55584,29803,231.035
