,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
0,None,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545
1,None,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516
2,None,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767
3,None,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026
4,None,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918
5,None,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181
6,None,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584
7,None,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015
8,None,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791
9,None,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770
10,None,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539
11,None,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784
12,None,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361
13,None,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529
14,None,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963
15,None,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506
16,None,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321
17,None,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273
18,None,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367
19,None,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814
20,None,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718
21,None,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673
22,None,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511
23,None,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471
24,None,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097
25,None,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887
26,None,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337
27,None,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692
28,None,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137
29,None,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623
30,None,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591
31,None,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898
32,None,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637
33,None,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777
34,None,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015
35,None,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598
