,SystemCodeNumber,Capacity,Occupancy,LastUpdated
0,BHMBCCMKT01,577,61,2016-10-04 07:59:42
1,BHMBCCMKT01,577,64,2016-10-04 08:25:42
2,BHMBCCMKT01,577,80,2016-10-04 08:59:42
3,BHMBCCMKT01,577,107,2016-10-04 09:32:46
4,BHMBCCMKT01,577,150,2016-10-04 09:59:48
5,BHMBCCMKT01,577,177,2016-10-04 10:26:49
6,BHMBCCMKT01,577,219,2016-10-04 10:59:48
7,BHMBCCMKT01,577,247,2016-10-04 11:25:47
8,BHMBCCMKT01,577,259,2016-10-04 11:59:44
9,BHMBCCMKT01,577,266,2016-10-04 12:29:45
10,BHMBCCMKT01,577,269,2016-10-04 13:02:48
11,BHMBCCMKT01,577,263,2016-10-04 13:29:45
12,BHMBCCMKT01,577,238,2016-10-04 14:02:47
13,BHMBCCMKT01,577,215,2016-10-04 14:29:49
14,BHMBCCMKT01,577,192,2016-10-04 14:57:13
15,BHMBCCMKT01,577,165,2016-10-04 15:30:14
16,BHMBCCMKT01,577,162,2016-10-04 16:04:12
17,BHMBCCMKT01,577,143,2016-10-04 16:31:14
18,BHMBCCMKT01,577,54,2016-10-05 07:57:17
19,BHMBCCMKT01,577,59,2016-10-05 08:30:15
20,BHMBCCMKT01,577,71,2016-10-05 09:04:19
21,BHMBCCMKT01,577,83,2016-10-05 09:30:15
22,BHMBCCMKT01,577,114,2016-10-05 10:04:15
23,BHMBCCMKT01,577,128,2016-10-05 10:30:17
24,BHMBCCMKT01,577,148,2016-10-05 11:04:19
25,BHMBCCMKT01,577,162,2016-10-05 11:30:18
26,BHMBCCMKT01,577,178,2016-10-05 12:04:14
27,BHMBCCMKT01,577,183,2016-10-05 12:30:16
28,BHMBCCMKT01,577,175,2016-10-05 12:57:15
29,BHMBCCMKT01,577,179,2016-10-05 13:30:19
30,BHMBCCMKT01,577,174,2016-10-05 13:57:20
31,BHMBCCMKT01,577,158,2016-10-05 14:30:17
32,BHMBCCMKT01,577,145,2016-10-05 14:57:19
33,BHMBCCMKT01,577,129,2016-10-05 15:30:15
34,BHMBCCMKT01,577,121,2016-10-05 16:04:18
35,BHMBCCMKT01,577,114,2016-10-05 16:30:17
36,BHMBCCMKT01,577,58,2016-10-06 07:57:25
37,BHMBCCMKT01,577,63,2016-10-06 08:30:20
38,BHMBCCMKT01,577,70,2016-10-06 08:57:22
39,BHMBCCMKT01,577,95,2016-10-06 09:30:20
40,BHMBCCMKT01,577,135,2016-10-06 10:03:20
41,BHMBCCMKT01,577,160,2016-10-06 10:30:20
42,BHMBCCMKT01,577,177,2016-10-06 10:57:20
43,BHMBCCMKT01,577,191,2016-10-06 11:30:22
44,BHMBCCMKT01,577,199,2016-10-06 12:04:24
45,BHMBCCMKT01,577,206,2016-10-06 12:30:24
46,BHMBCCMKT01,577,198,2016-10-06 12:57:21
47,BHMBCCMKT01,577,208,2016-10-06 13:30:21
48,BHMBCCMKT01,577,200,2016-10-06 13:57:22
49,BHMBCCMKT01,577,175,2016-10-06 14:30:23
50,BHMBCCMKT01,577,158,2016-10-06 15:04:22
51,BHMBCCMKT01,577,153,2016-10-06 15:31:22
52,BHMBCCMKT01,577,135,2016-10-06 16:04:23
53,BHMBCCMKT01,577,129,2016-10-06 16:30:27
54,BHMBCCMKT01,577,58,2016-10-07 08:03:27
55,BHMBCCMKT01,577,61,2016-10-07 08:30:27
56,BHMBCCMKT01,577,75,2016-10-07 09:04:13
57,BHMBCCMKT01,577,103,2016-10-07 09:30:27
58,BHMBCCMKT01,577,128,2016-10-07 09:57:27
59,BHMBCCMKT01,577,172,2016-10-07 10:30:27
60,BHMBCCMKT01,577,188,2016-10-07 10:57:30
61,BHMBCCMKT01,577,199,2016-10-07 11:30:28
62,BHMBCCMKT01,577,210,2016-10-07 12:03:29
63,BHMBCCMKT01,577,206,2016-10-07 12:30:28
64,BHMBCCMKT01,577,200,2016-10-07 13:04:28
65,BHMBCCMKT01,577,201,2016-10-07 13:30:29
66,BHMBCCMKT01,577,193,2016-10-07 14:03:28
