,TPSA(Tot),SAacc,H-050,MLOGP,RDCHI,GATS1p,nN,C-040,quantitative response
0,0.0,0.0,0,2.419,1.225,0.667,0,0,3.74
1,0.0,0.0,0,2.638,1.401,0.632,0,0,4.33
2,9.23,11.0,0,5.7989999999999995,2.93,0.486,0,0,7.019
3,9.23,11.0,0,5.452999999999999,2.887,0.495,0,0,6.723
4,9.23,11.0,0,4.0680000000000005,2.758,0.695,0,0,5.979
5,215.34,327.629,3,0.18899999999999997,4.677,1.3330000000000002,0,4,6.064
6,9.23,11.0,0,2.7230000000000003,2.3209999999999997,1.165,0,0,7.337000000000001
7,0.0,0.0,0,3.267,2.318,0.963,0,0,4.1
8,0.0,0.0,0,2.0669999999999997,1.8,1.25,0,0,3.9410000000000003
9,0.0,0.0,0,2.7460000000000004,1.6669999999999998,1.4,0,0,3.8089999999999997
10,0.0,0.0,0,3.1239999999999997,1.8,1.4169999999999998,0,0,4.34
11,12.03,18.011,1,0.8170000000000001,1.8,1.4880000000000002,1,0,3.93
12,69.67,97.435,0,3.122,3.7230000000000003,1.26,0,2,7.371
13,23.79,31.059,0,0.094,1.334,1.115,1,1,3.78
14,92.14,107.09700000000001,1,4.275,4.1739999999999995,1.1740000000000002,1,1,4.112
15,0.0,0.0,0,2.8510000000000004,1.989,0.938,0,0,3.533
16,0.0,0.0,0,1.115,1.0,0.588,0,0,4.632
17,35.53,47.145,0,4.579,3.875,1.124,0,1,7.693
18,17.07,25.145,0,0.20199999999999999,1.225,1.66,0,0,0.6729999999999999
19,34.14,50.29,0,0.076,1.6540000000000001,1.493,0,0,3.323
20,67.51,103.973,1,3.2039999999999997,3.344,0.938,0,1,2.955
21,49.33,85.839,2,1.06,2.272,1.0070000000000001,1,1,4.216
22,122.22,155.543,2,1.406,3.511,1.456,5,2,2.593
23,18.46,22.0,0,1.262,2.147,1.5759999999999998,0,0,2.272
24,3.24,3.1239999999999997,0,9.148,5.497000000000001,1.5590000000000002,1,0,5.96
25,12.03,18.011,1,6.728,4.3919999999999995,1.554,1,0,6.537000000000001
26,54.57,41.028,0,5.65,4.026,1.575,0,0,7.1
27,118.22,238.562,5,2.201,3.83,1.214,0,0,6.4239999999999995
28,37.3,67.828,1,3.23,2.63,1.166,0,1,4.355
29,3.24,3.1239999999999997,0,4.48,3.258,1.31,1,0,5.721
30,12.47,14.124,0,3.827,3.362,1.3730000000000002,1,0,5.102
31,0.0,0.0,0,2.226,1.265,0.57,0,0,3.718
32,0.0,14.96,0,2.026,1.265,0.722,0,0,3.577
33,45.61,28.269000000000002,0,3.012,2.557,0.9009999999999999,1,0,6.457999999999999
34,12.03,18.011,1,1.587,1.6540000000000001,1.732,1,0,2.352
35,86.81,121.412,3,0.7090000000000001,2.938,1.416,2,0,2.958
36,132.42,196.332,2,4.478,4.984,1.087,4,0,5.44
37,40.46,85.367,2,5.255,3.0010000000000003,0.485,0,0,4.838
38,0.0,0.0,0,5.452999999999999,2.8369999999999997,0.735,0,0,6.858
39,20.23,42.683,1,3.9210000000000003,2.494,1.229,0,0,6.36
40,40.46,85.367,2,3.306,2.832,0.917,0,0,4.301
