,CIC0,SM1_Dz(Z),GATS1i,NdsCH,NdssC,MLOGP,quantitative response LC50 [-LOG(mol/L)]
0,3.26,0.8290000000000001,1.676,0,1,1.453,3.77
1,2.189,0.58,0.863,0,0,1.348,3.115
2,2.125,0.638,0.831,0,0,1.348,3.531
3,3.0269999999999997,0.331,1.472,1,0,1.807,3.51
4,2.094,0.8270000000000001,0.86,0,0,1.886,5.39
5,3.222,0.331,2.177,0,0,0.706,1.819
6,3.179,0.0,1.063,0,0,2.9419999999999997,3.947
7,3.0,0.0,0.938,1,0,2.8510000000000004,3.513
8,2.62,0.499,0.99,0,0,2.9419999999999997,4.402
9,2.8339999999999996,0.134,0.95,0,0,1.591,3.0210000000000004
10,2.405,0.134,0.843,0,0,1.7690000000000001,3.21
11,2.728,0.223,0.953,0,0,1.591,2.371
12,2.512,0.223,0.929,1,0,1.7690000000000001,3.9189999999999996
13,2.8339999999999996,0.134,1.237,0,0,1.859,3.03
14,2.819,0.331,1.271,0,1,0.981,2.736
15,2.126,0.251,1.114,0,0,0.14300000000000002,2.157
16,2.8339999999999996,0.134,1.3219999999999998,0,0,1.199,2.4130000000000003
17,3.014,0.56,1.781,0,0,-0.115,0.898
18,3.0239999999999996,0.452,2.698,0,0,1.107,0.45
19,3.036,0.405,1.205,1,0,1.807,3.733
20,2.707,0.972,1.889,0,3,-1.169,2.9760000000000004
21,2.978,1.246,1.103,0,1,3.988,6.535
22,3.111,0.732,0.9229999999999999,0,0,4.0680000000000005,5.643
23,3.315,0.223,0.96,0,0,3.395,4.629
24,2.71,0.93,0.7240000000000001,0,0,2.526,4.838
25,3.326,0.647,0.986,0,1,3.112,4.081
26,3.332,0.134,1.294,0,0,2.51,3.4360000000000004
27,3.8960000000000004,0.134,1.984,0,0,2.591,3.45
28,3.155,0.638,2.128,0,0,-0.937,1.102
29,2.479,0.887,0.9540000000000001,0,0,1.7480000000000002,4.257
30,1.075,1.161,0.865,0,1,0.024,5.386
31,3.645,0.223,1.155,0,0,2.8369999999999997,3.3930000000000002
32,3.0789999999999997,0.429,2.135,0,0,-0.521,1.308
33,3.332,0.134,1.5190000000000001,0,0,2.242,3.554
34,2.7260000000000004,0.496,1.179,0,1,1.06,2.269
35,3.532,0.134,1.11,0,0,2.813,4.165
36,4.216,0.223,1.248,0,0,5.0889999999999995,5.896
37,3.605,0.0,1.15,0,0,3.562,4.829
38,2.918,0.223,0.9440000000000001,3,0,2.066,4.59
39,3.833,0.405,1.5219999999999998,0,1,3.492,2.092
40,3.6689999999999996,0.223,1.599,0,0,2.274,3.665
41,2.824,0.223,1.0,1,0,2.102,3.56
42,2.233,0.64,0.92,1,0,2.37,4.805
43,3.103,0.134,1.344,0,0,1.5330000000000001,3.174
44,4.413,0.56,1.17,1,2,3.906,7.899
45,3.641,0.331,1.933,0,1,1.565,2.67
46,3.073,0.693,1.851,0,2,0.787,4.016
47,3.012,0.223,1.023,0,0,2.193,3.8569999999999998
48,3.818,0.693,1.6269999999999998,2,2,2.217,5.522
49,4.171,0.693,1.6780000000000002,0,2,2.8489999999999998,4.851
50,3.734,0.223,1.45,2,1,2.642,3.84
51,3.734,0.223,1.374,2,2,2.642,4.586
52,2.126,0.977,0.7709999999999999,0,0,3.795,5.284
53,2.2159999999999997,0.679,0.764,0,0,2.296,3.5589999999999997
54,3.179,0.0,1.063,0,0,2.9419999999999997,4.091
55,2.62,0.499,0.99,0,0,3.21,4.33
56,2.728,0.223,0.953,0,0,1.859,3.755
57,2.126,0.83,0.899,0,0,3.478,4.552
58,2.2159999999999997,0.5820000000000001,0.8390000000000001,0,0,2.127,3.62
59,2.086,0.64,0.838,0,0,2.127,4.459
60,2.8339999999999996,0.134,0.95,0,0,1.859,2.827
61,2.126,0.405,0.917,4,2,0.41100000000000003,6.38
62,3.08,0.405,1.609,1,1,1.619,4.7860000000000005
63,1.636,0.64,1.695,0,0,0.408,3.861
64,2.219,0.604,1.537,0,0,2.026,3.262
65,1.594,0.223,1.3330000000000002,2,0,0.094,6.297000000000001
66,1.818,0.499,1.4680000000000002,1,0,1.672,3.5460000000000003
67,1.5,0.83,1.891,0,0,1.817,2.92
68,1.5119999999999998,0.64,1.844,0,0,0.34700000000000003,3.2030000000000003
69,2.56,0.134,1.758,0,0,0.34700000000000003,2.283
70,1.818,0.134,1.445,0,0,0.20199999999999999,1.5590000000000002
71,1.359,0.134,1.13,1,0,0.094,3.47
