,"motor: A,B,C,D,E","screw: A,B,C,D,E","pgain: 3,4,5,6","vgain: 1,2,3,4,5",class: 0.13 to 7.10
0,E,E,5,4,0.28125095
1,B,D,6,5,0.5062525
2,D,D,4,3,0.35625148
3,B,A,3,2,5.500033
4,D,B,6,5,0.35625148
5,E,C,4,3,0.8062545999999999
6,C,A,3,2,5.100014
7,A,A,3,2,5.7000421999999995
8,C,A,6,5,0.76875436
9,D,A,4,1,1.0312537
10,B,E,6,5,0.46875226
11,E,C,5,4,0.39375174
12,B,C,4,1,0.28125095
13,E,C,3,1,1.1
14,C,C,5,4,0.5062525
15,E,B,3,2,1.8999897000000001
16,D,C,3,1,0.9000011
17,B,C,5,4,0.46875226
18,B,B,5,4,0.5437528
19,C,E,4,2,0.20625044
20,E,D,4,3,0.9187554
21,A,D,4,3,1.1062483
22,B,C,6,5,0.46875226
23,A,C,4,2,0.58125305
24,A,B,6,5,0.58125305
25,E,C,6,5,0.39375174
26,A,A,3,1,5.300023599999999
27,A,E,4,2,0.46875226
28,C,D,3,2,1.8999897000000001
29,B,B,3,2,4.299976999999999
30,B,E,4,2,0.35625148
31,B,C,3,1,3.8999639999999998
32,C,E,4,1,0.5437528
33,C,A,6,2,0.5437528
34,C,C,6,5,0.5062525
35,E,E,3,2,1.1
36,D,E,3,1,0.5000003
37,E,C,4,2,0.13124992
38,C,B,6,5,0.5437528
39,C,D,4,1,0.20625044
40,D,B,4,1,0.69375384
41,C,B,4,3,0.88125515
42,C,C,4,3,0.9187554
43,B,D,4,1,0.24375070000000001
44,B,A,5,3,0.6562536
45,A,B,4,3,1.0312537
46,B,A,4,1,0.8062545999999999
47,E,D,4,2,0.431252
48,C,E,3,2,4.0999675
49,D,D,3,1,0.7000006999999999
50,D,A,6,5,0.431252
51,C,B,3,2,4.499986
52,B,E,3,2,4.6999955
53,C,D,5,4,0.5062525
54,B,B,4,2,0.7312541
55,A,E,4,3,1.1437455
56,A,A,4,2,0.88125515
57,B,D,4,3,1.0312537
58,E,A,3,2,6.900098299999999
59,B,C,4,3,0.9562556999999999
60,E,B,4,2,0.58125305
61,E,A,5,4,0.58125305
62,E,B,5,4,0.431252
63,C,A,6,1,0.5437528
64,D,A,4,3,0.7312541
65,C,B,4,2,0.5062525
66,D,B,3,2,1.6999923
67,D,C,3,2,1.2999973999999999
68,C,A,5,2,0.5437528
69,B,D,4,2,0.39375174
70,B,A,6,5,0.8062545999999999
71,D,A,4,2,0.28125095
72,C,B,5,4,0.5437528
73,A,E,6,5,0.5062525
74,A,C,4,1,0.35625148
75,A,E,5,4,0.5062525
76,E,C,4,1,0.28125095
77,B,B,3,1,4.499986
78,A,D,3,2,4.6999955
79,E,D,3,2,1.2999973999999999
80,E,A,3,1,7.100107700000001
81,A,C,6,5,0.5062525
82,C,E,5,4,0.46875226
83,C,A,5,4,0.76875436
84,E,A,6,5,0.58125305
85,B,E,5,4,0.46875226
86,E,E,4,3,0.8437549000000001
87,B,A,4,2,0.8437549000000001
88,B,D,5,4,0.5062525
89,C,C,4,2,0.35625148
90,A,A,5,3,0.69375384
91,C,E,4,3,1.068751
92,A,A,4,3,1.1062483
93,C,A,6,3,0.5437528
94,A,E,4,1,0.24375070000000001
95,A,D,6,5,0.5062525
96,E,D,3,1,0.9000011
97,C,B,4,1,0.431252
98,B,D,3,2,4.0999675
99,B,B,4,3,0.99375594
100,B,C,4,2,0.5062525
101,A,E,3,2,4.499986
102,B,D,3,1,3.8999639999999998
103,D,B,5,4,0.39375174
104,C,C,4,1,0.24375070000000001
105,C,D,4,2,0.24375070000000001
106,E,B,4,1,1.1812428
107,D,B,3,1,1.2999973999999999
108,E,B,6,5,0.431252
109,D,A,3,1,2.499982
110,A,D,5,4,0.5062525
111,C,A,4,1,0.7312541
112,C,D,6,5,0.46875226
113,B,A,4,3,1.068751
114,E,A,4,3,1.2187401000000002
115,A,A,4,1,0.8437549000000001
116,A,C,4,3,0.99375594
117,E,D,6,5,0.31875122
118,E,A,4,2,0.99375594
119,C,D,3,1,1.4999949
120,B,B,4,1,0.58125305
121,C,A,4,2,0.76875436
122,C,A,5,1,0.5437528
123,C,E,3,1,1.2999973999999999
124,C,A,3,1,4.299976999999999
125,C,A,4,3,1.0312537
126,C,C,3,1,1.8999897000000001
127,D,A,5,4,0.431252
128,A,B,5,4,0.58125305
129,C,C,3,2,4.299976999999999
130,E,D,5,4,0.31875122
131,D,C,4,3,0.5437528
132,E,E,6,5,0.28125095
133,D,B,4,2,0.35625148
134,A,D,4,2,0.46875226
135,B,B,6,5,0.5437528
136,A,B,4,1,0.6187533000000001
137,A,C,5,4,0.5062525
138,B,E,4,1,0.20625044
139,C,B,3,1,3.8999639999999998
140,E,E,4,2,0.5062525
141,B,E,4,3,1.1062483
142,A,E,3,1,3.8999639999999998
143,A,B,4,2,0.8062545999999999
144,A,C,3,1,3.8999639999999998
145,E,C,3,2,1.4999949
146,B,A,3,1,5.100014
147,D,D,3,2,1.4999949
148,A,C,3,2,4.6999955
149,E,A,4,1,0.88125515
150,B,A,5,4,0.8062545999999999
151,E,E,3,1,0.7000006999999999
152,D,E,3,2,0.9000011
153,E,B,3,1,1.4999949
154,A,D,4,1,0.24375070000000001
155,A,D,3,1,4.0999675
156,E,B,4,3,0.99375594
157,A,B,3,1,4.6999955
158,D,B,4,3,0.58125305
159,A,A,5,4,0.8062545999999999
160,D,A,3,2,2.6999795
161,C,E,6,5,0.46875226
162,B,C,3,2,4.499986
163,B,E,3,1,3.6999667
164,C,D,4,3,0.9562556999999999
165,A,B,3,2,4.499986
166,A,A,6,5,0.8062545999999999
