,GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
0,52,5,27,10,3000,143.718,0.0035151591,0.0002196974,7,0.0001098487,0.0003923169,0.0048490365,32.6677,40.8673,4.7508,28,0.0013966,6,0.0,0.0
1,55,5,23,10,5000,129.2322,0.0033038124,0.00025946169999999997,4,0.0002940566,0.00043243620000000003,0.0043070643,32.9194,42.3454,4.8434,22,0.0011935000000000001,5,0.0,0.00020757
2,56,4,30,10,200,69.9612,0.0011010905999999999,0.00033557050000000005,4,0.0002936242,0.0004614094,0.002925755,44.6475,75.3548,4.043,22,0.00074455,6,0.0,0.00018876
3,57,3,19,20,400,107.6016,0.0010335422,0.00021310150000000003,1,5.32753697310659e-05,0.0005434088,0.0037825513,29.2203,53.7352,4.9155,19,0.00042619999999999995,7,0.0,0.00038358
4,58,3,32,10,500,122.8908,0.0011360136,0.0003273259,2,0.0,0.0013285582000000002,0.0023682994,22.6885,62.0813,9.374,15,0.0011745,4,0.0,1.9254000000000002e-05
5,60,2,27,6,70,44.457,0.0009783903,0.0002552323,2,0.0,0.0,0.0024247064999999997,76.4405,98.7719,3.0965,16,0.00037221,6,0.0,0.0
6,61,1,21,8,240,46.9962,0.0008201141000000001,0.0001685166,6,0.0,4.4937761200737e-05,0.0019884959,94.0227,90.5311,4.1017,15,0.00057296,5,0.0,0.0
7,72,7,17,42,10000,212.6022,0.009039739100000001,0.0006762401,6,0.0011635308,0.0012530331,0.0049524643,24.6117,41.7671,6.6104,45,0.0022773000000000003,9,0.0001292812,0.00024862
8,77,4,20,14,2708,117.4884,0.0029442751,0.0005267713,2,1.8813259585355802e-05,0.00041389169999999997,0.0053994055,52.013999999999996,46.4321,3.3746,29,0.0010347000000000002,7,0.0002727923,0.00047033
9,81,4,18,24,800,155.9856,0.0050539084,0.000524109,8,2.4957572127383398e-05,0.0003993212,0.0035689328,24.4632,52.1538,6.5664,27,0.0013103,6,0.0,0.0
10,83,3,16,16,6000,153.80100000000002,0.0016766145999999999,0.0003185568,4,0.0,0.0008215411,0.0037723828,23.4107,48.0711,7.0044,24,0.0015928,7,0.0,1.6766e-05
11,93,4,26,4,190,79.2948,0.0003785385,0.000255102,3,1.6458196181698498e-05,0.000164582,0.0035549704,39.6381,65.5,4.2269,19,0.00075708,7,0.0001069783,0.00026333
12,97,3,18,12,350,67.4754,0.0004225216,0.0001690086,1,2.4144091940702103e-05,0.0001448646,0.002885219,42.437,68.0502,4.3222,16,0.00074847,7,0.0,0.00043459
13,98,3,38,6,1000,119.4366,0.0049520434,5.21267723102585e-05,2,8.68779538504309e-05,3.47511815401724e-05,0.0027279678000000003,54.8718,79.2102,6.2293,21,0.0014943,5,0.0,0.0
14,100,5,16,30,5000,160.4754,0.0042538602,0.0004317351,2,0.0007745835000000001,0.0004063389,0.0045713125,36.2897,46.8889,5.4361,28,0.0019809000000000003,7,0.0,0.0
15,102,5,17,16,1500,81.7722,0.0023334844,0.0004304486,4,0.0,0.00024920709999999997,0.0028998641,45.1654,64.75,4.5312,15,0.0012460000000000001,6,0.0,0.00022655
16,105,4,28,8,2000,50.8374,0.0006641086,0.0002213695,1,1.84474616292798e-05,0.0001475797,0.0026564345000000002,45.7902,76.8889,3.5,13,0.00066411,6,0.0,0.00029516
17,106,5,20,10,120,160.6464,0.0034303442999999998,0.0006336305,7,0.0,9.46804171764843e-05,0.0055351629000000005,28.3636,37.7947,4.7671,29,0.0027676,10,8.739730816290859e-05,0.00010196
18,118,5,16,14,350,107.9118,0.0067013056000000005,0.0007061017999999999,5,1.3322675193178802e-05,0.0004662936,0.0032374101,67.0744,71.3251,4.3786,27,0.0013323,9,0.0002398082,0.0
19,127,4,26,28,1100,114.7806,0.0026296126,0.0002873894,5,0.000244281,0.0003448672,0.0036498448,40.4427,59.937,4.9961,16,0.0015806,5,0.0,0.0
20,132,5,21,10,800,115.1274,0.0026511484999999996,0.0006600369999999999,8,9.90055443104814e-05,0.0006930388,0.0041472322,30.766,49.4854,4.678999999999999,30,0.00082505,8,0.0,0.00051703
21,138,6,21,6,500,133.7016,0.0044997946,0.0004201053,3,1.8671346950969e-05,7.46853878038762e-05,0.0038743045,21.4686,50.5253,5.4892,29,0.0010083,10,0.0,0.00056014
22,139,5,18,20,800,99.5088,0.00073402,0.000108298,1,2.40662302656912e-05,0.0005775894999999999,0.0026954178,22.7265,68.7321,6.7054,23,0.0019614,7,0.0,0.0
23,140,5,26,10,500,83.9172,0.0028535133000000003,0.0004929658,3,0.0,0.0,0.0046073338,51.2082,52.0494,2.8663,31,0.00065413,9,0.0,0.0
24,141,4,17,14,500,216.6936,0.012494648999999998,0.0004815925,4,5.35102739726027e-05,0.0001070205,0.0043343322,27.9255,45.1605,6.3395,18,0.001204,5,0.0,0.0
25,142,4,23,20,800,129.8598,0.0023150778,0.0003337689,5,7.81161231678218e-05,0.0010084081,0.0034726167,36.3934,57.5215,6.7587,36,0.00075276,11,0.0002840586,0.0012286
26,144,6,18,70,2520,267.5586,0.0278149343,0.0007081596000000001,10,0.0,0.0001278621,0.0056160988,34.6035,40.6025,4.1629,36,0.00085569,12,8.851994649461009e-05,0.00019671
27,149,5,25,6,800,74.1174,0.000875,0.00020535709999999999,6,1.78571428571429e-05,4.46428571428571e-05,0.0035178571,46.4122,71.8173,3.7944,34,0.00092857,5,0.0,0.0
28,154,5,25,20,700,101.6796,0.0014061944,0.0004271983,5,0.0,0.0001245995,0.0034531862,26.7979,54.5979,5.3144,22,0.0010324000000000002,4,0.0,0.0005696000000000001
29,158,6,18,10,160,150.5004,0.005666689399999999,0.0006315286,6,0.00037550349999999997,0.0004096402,0.0046255206,30.2222,45.5941,4.9077,14,0.001007,6,0.0,0.0
30,160,3,19,6,150,64.6416,0.0006723442,0.0003361721,1,0.0001540789,0.000203104,0.0027594128000000004,53.5776,78.2944,4.2284,41,0.00063733,6,7.003585835948011e-05,6.3032e-05
31,161,3,18,8,250,41.9094,0.0002757509,0.0001909045,0,0.0,0.0001696929,0.0021423723,54.4677,91.3069,3.6881,17,0.00066817,6,0.0,2.1212e-05
32,162,5,16,16,1000,128.0784,0.002753792,9.495834493935329e-05,4,0.0002405611,0.0001645945,0.0039692588,35.393,56.4019,5.2711,27,0.00043048,8,0.0,0.0
33,163,6,16,28,500,161.3466,0.0061099069999999995,0.0005774825,9,0.000327953,0.0007272000999999999,0.0041350596,34.1209,47.1034,5.8466,48,0.0013475,9,0.0003778589,0.00017111
34,168,4,22,4,400,90.7686,0.0016104535000000001,0.00039279349999999996,4,0.0,0.0001833037,0.0034696763,44.7424,59.5321,4.5698,15,0.00070703,6,0.0,0.00032733
35,169,6,20,14,730,162.0876,0.0075967266,0.0005716349,7,0.0002557314,0.0007521511999999999,0.0039864011,23.5303,51.034,5.7698,28,0.0026024,6,0.0,1.5043e-05
36,171,1,18,6,230,69.5076,0.00017507,0.0002042484,4,5.83566760037348e-05,0.0002042484,0.0014589169,45.0612,112.96,9.14,11,0.00058357,4,0.0,0.0
37,175,3,16,24,300,81.0702,0.0017467932,0.00010428620000000001,0,2.60715403066013e-05,0.0001433935,0.0026201898,47.48,75.0846,5.0796,14,0.00080822,6,2.60715403066013e-05,3.9107e-05
38,178,5,22,8,300,157.332,0.0077426648,0.0002234725,1,0.0001314544,0.0009859081,0.0037990325,33.0417,57.7716,5.8581,29,0.0018929000000000003,6,0.0,0.0
39,180,4,23,4,100,67.6194,0.001565762,0.0003983079,4,4.12042632677728e-05,0.0011262499,0.0016619053,49.4333,89.9174,7.1322,17,0.00083782,6,9.61432809581365e-05,0.0002747
40,181,2,25,10,200,75.9642,0.0006096651,0.0001368636,4,0.0001244214,0.0003234957,0.0020902802,45.1018,78.3095,6.5417,15,0.00093316,6,0.0,0.0
41,182,5,25,12,200,164.1114,0.0033720319,0.00040389239999999996,7,0.0001127142,0.0015686054000000002,0.0049876014000000005,40.4604,43.7815,5.6365,32,0.0012774000000000001,8,0.00021603549999999998,0.0010895999999999998
